"gate","status","detail"
"retained-keyword-count","PASS","Expected 160; found 160"
"segment-coverage","PASS","All 8 segments present"
"layer-coverage","PASS","Every segment covers all 5 layers"
"unique-normalized-query","PASS","Every retained query is globally unique"
"exactly-one-cluster","PASS","Every keyword maps to exactly one defined cluster"
"one-primary-layer","PASS","Every keyword has exactly one valid primary layer"
"cluster-owner-unique","PASS","Every page cluster has one unique canonical path"
"cluster-required-fields","PASS","All page briefs contain execution, evidence, confidence, and validation fields"
"market-metrics-not-fabricated","PASS","Unavailable metrics remain blank and distinct from zero"
"investor-intent-excluded","PASS","Investor-only intent excluded"
"question-coverage","PASS","120 questions; 3 per segment-layer"
"ranking-evidence-present","PASS","Every keyword carries three current segment/cluster ranking references with scoped claim"
"keyword-validation-row-coverage","PASS","Demand and ranking validation contains exactly one row per retained keyword"
"gsc-unobserved-distinct-from-zero","PASS","Missing GSC query observations are explicitly not observed, never zero"
