recordType,recordId,leadCaptureScore,authorityBuildScore,model,inputSummary,evidenceCaps
keyword,keyword-mli-select,64,83,evidence-null-aware-v1,Measured volume 1600; CPC 10.25; difficulty 0; public SERP not observed; official sources 1; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-mli-select-financing,70,60,evidence-null-aware-v1,Measured volume 20; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 1; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-cmhc-mli-select-financing,57,66,evidence-null-aware-v1,Measured volume 20; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 1; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-mli-select-construction-financing,74,60,evidence-null-aware-v1,Measured volume 10; CPC 5.88; difficulty unavailable; public SERP not observed; official sources 2; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-multiplex-construction-financing-toronto,79,52,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP observed; official sources 1; confidence medium.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-construction-financing-toronto,83,57,evidence-null-aware-v1,Measured volume 90; CPC 3.87; difficulty 0; public SERP observed; official sources 0; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-multi-family-construction-financing,72,60,evidence-null-aware-v1,Measured volume 10; CPC 3.47; difficulty unavailable; public SERP not observed; official sources 1; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-apartment-construction-financing,70,60,evidence-null-aware-v1,Measured volume 10; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 1; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-fourplex-financing-toronto,46,34,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 2; confidence low.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-duplex-construction-financing-toronto,46,34,evidence-null-aware-v1,Volume unavailable; CPC unavailable; difficulty unavailable; public SERP not observed; official sources 2; confidence low.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-garden-suite,53,77,evidence-null-aware-v1,Measured volume 1900; CPC 2.78; difficulty 0; public SERP not observed; official sources 1; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-garden-suites-toronto,63,68,evidence-null-aware-v1,Measured volume 590; CPC 1.74; difficulty 5; public SERP not observed; official sources 1; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-toronto-garden-suites,63,65,evidence-null-aware-v1,Measured volume 210; CPC 3.35; difficulty 5; public SERP not observed; official sources 1; confidence high.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
keyword,keyword-garden-suite-brampton,59,48,evidence-null-aware-v1,Measured volume 90; CPC 1.23; difficulty 0; public SERP not observed; official sources 0; confidence medium.,Missing metrics score zero for research demand; missing provider SERP caps attainability and commercial evidence; original-expertise points remain capped until FairLend evidence is supplied.
