serviceId,serviceName,landingPageEvidence,priority,targetPath,targetStatus,gscPageImpressions,gscQueryImpressions,serpDominantPageType,primaryOpportunity,recommendedAsset,primaryCta,evidenceRefs
residential-mortgages,Residential Mortgages,FairlendLandingOverviewSection + route selector,P2,/borrowers/residential-mortgage-financing,proposed,0,0,Broker service pages plus regulator guidance,Create a dedicated residential mortgage financing service page supported by a feasibility guide and a comparison/urgent-intent FAQ.,Dedicated service page + feasibility guide + comparison module,Get a financing strategy,landing-page-inventory|gsc-ga4-2026-07-19|serp-residential-mortgages
private-mortgages,Private Mortgages,route selector subservice,P0,/borrowers/private-mortgage-financing,existing,14,2,Dedicated lender/broker money pages,"Refine the existing page around qualification, appraisal, costs, and bank-decline recovery; page visibility is already near page one.",Dedicated service page + feasibility guide + comparison module,Get a financing strategy,landing-page-inventory|gsc-ga4-2026-07-19|serp-private-mortgages
institutional-mortgages,Institutional Mortgages,route selector subservice,P2,/borrowers/institutional-mortgage-financing,proposed,0,0,Broad broker service pages,Create a dedicated institutional mortgage financing service page supported by a feasibility guide and a comparison/urgent-intent FAQ.,Dedicated service page + feasibility guide + comparison module,Get a financing strategy,landing-page-inventory|gsc-ga4-2026-07-19|serp-institutional-mortgages
heloc,Home Equity Line of Credit (HELOC),overview catalog + route selector subservice,P1,/borrowers/heloc,proposed,0,0,Dedicated HELOC product and comparison pages,Create a dedicated HELOC financing service page supported by a feasibility guide and a comparison/urgent-intent FAQ.,Dedicated service page + feasibility guide + comparison module,Get a financing strategy,landing-page-inventory|gsc-ga4-2026-07-19|serp-heloc
bridge-loans,Bridge Loans,overview catalog,P1,/borrowers/bridge-financing,proposed,0,0,Lender product sheets and broker guides,Create a dedicated bridge loan financing service page supported by a feasibility guide and a comparison/urgent-intent FAQ.,Dedicated service page + feasibility guide + comparison module,Get a financing strategy,landing-page-inventory|gsc-ga4-2026-07-19|serp-bridge-loans
residential-refinancing,Residential Refinancing,overview catalog,P1,/borrowers/residential-refinancing,proposed,0,0,"Refinance calculators, guides, and broker pages",Create a dedicated residential mortgage refinancing service page supported by a feasibility guide and a comparison/urgent-intent FAQ.,Dedicated service page + feasibility guide + comparison module,Get a financing strategy,landing-page-inventory|gsc-ga4-2026-07-19|serp-residential-refinancing
renovation-financing,Renovation Financing,overview catalog,P1,/borrowers/renovation-financing,proposed,0,0,Specialist loan products and home-equity comparisons,Create a dedicated home renovation financing service page supported by a feasibility guide and a comparison/urgent-intent FAQ.,Dedicated service page + feasibility guide + comparison module,Get a financing strategy,landing-page-inventory|gsc-ga4-2026-07-19|serp-renovation-financing
construction-financing,Construction Financing / DrawFlow,route selector service,P0,/construction-draw-financing,existing,3,3,Specialist lender pages plus draw-process guides,Publish a definitive draw-schedule hub and connect it tightly to the existing DrawFlow money page; current visibility is real but extremely low-ranked.,Draw schedule pillar + rescue-financing section + existing service-page refresh,Get a financing strategy,landing-page-inventory|gsc-ga4-2026-07-19|serp-construction-financing
multiplex-financing,Multi-plex Financing,overview catalog,P1,/multiplex-financing,proposed,0,0,Integrated design-build-finance pages and feasibility guides,Create a dedicated Toronto multiplex financing service page supported by a feasibility guide and a comparison/urgent-intent FAQ.,Dedicated service page + feasibility guide + comparison module,Get a financing strategy,landing-page-inventory|gsc-ga4-2026-07-19|serp-multiplex-financing
garden-laneway-suites,Garden & Laneway Suite Financing,overview catalog + backyard-rental route,P0,/garden-suite,existing,13,0,"Municipal guidance, builder guides, and lender product sheets",Protect the existing position-2.9 visibility with tighter title/meta alignment and a financing-first FAQ; current zero clicks require CTR work before expansion.,Existing page refresh + financing FAQ + cost/feasibility calculator,Get a financing strategy,landing-page-inventory|gsc-ga4-2026-07-19|serp-garden-laneway-suites
