clusterId,topicCluster,canonicalPath,routeStatus,funnelLayers,primaryKeyword,highestObservedMonthlySearches,qualifiedTrafficAnchor,qualifiedAnchorMonthlySearches,primaryIntent,pageJob,priority,contentAction,cannibalizationBoundary
TPF-01,sitewide-calculators,/calculators,existing,L2,mortgage calculator,368000,mortgage calculator,368000,informational,Interactive feasibility tools,P1,Upgrade the calculator UX and supporting copy before building another calculator article,All calculator-intent terms consolidate here or under a specific calculator child route.
TPF-02,municipal-permits-zoning,/resources/toronto-permit-zoning-navigator,proposed,L1-L2,garden suite permit requirements Toronto,2400,garden suite permit requirements Toronto,,informational,Primary-source navigator tied to financing readiness,P1,Build a dated source-led permit and zoning workflow,Do not target broad municipal heads in the title; use Toronto building permit and zoning terms as secondary context.
TPF-03,garden-laneway-feasibility,/garden-suite,existing,L1-L3,garden suites Toronto,1900,garden suites Toronto,590,mixed,Determine whether a project is legal practical and financially viable,P0,Refresh with a zoning checker cost model ROI scenarios and current official citations,This page owns feasibility; /garden-suite-financing-gta owns lender and application intent.
TPF-04,garden-laneway-financing,/garden-suite-financing-gta,existing,L3-L5,garden suite financing Toronto,,garden suite financing Toronto,,transactional,Compare structures qualify and request financing,P0,Expand product comparison qualification evidence and shortfall handling,Do not re-explain the full zoning process; link to /garden-suite and the permit navigator.
TPF-05,construction-financing,/construction-financing-ontario,proposed,L1-L3-L4,construction financing,880,construction financing,880,commercial-investigation,Own broad Ontario construction lending and qualification,P0,Create the definitive construction financing money page with lender-fit matrix and case evidence,Draw schedules stay on /construction-draw-financing and urgent rescues stay on /resources/construction-financing-rescue.
TPF-06,construction-draws,/construction-draw-financing,existing,L2-L3,construction loan draw schedule,10,construction loan draw schedule,10,informational-tool,Explain and model progress-draw mechanics,P0,Turn DrawFlow into the canonical schedule guide calculator and downloadable template,Do not launch /resources/construction-loan-draw-schedule; redirect or canonicalize any draft to this existing route.
TPF-07,construction-rescue,/resources/construction-financing-rescue,proposed,L5,bank declined construction loan,390,stopped construction draw financing Ontario,,urgent-transactional,Diagnose live funding failures and capture qualified rescue files,P0,Build a problem-first rescue page with cost-to-complete intake and legal disclaimers,Keep ordinary lender selection on /construction-financing-ontario; use construction lien only as an adjacent secondary term.
TPF-08,multiplex-feasibility,/resources/toronto-multiplex-financing-guide,proposed,L1-L3,Toronto multiplex financing feasibility,,Toronto multiplex financing feasibility,,informational-commercial,Explain zoning economics and one-to-four versus five-plus underwriting,P1,Build a decision guide with unit-count branching and readiness checklist,This guide owns research and comparison; /multiplex-financing-gta owns provider and application intent.
TPF-09,multiplex-financing,/multiplex-financing-gta,existing,L4-L5,multiplex financing Toronto,,multiplex financing Toronto,,transactional,Qualify and convert multiplex borrowers,P0,Expand lender paths documentation requirements case evidence and financing-gap handling,Do not target generic multiplex feasibility questions in title or H1.
TPF-10,mli-select-guide,/resources/mli-select-requirements-points,proposed,L1-L3,CMHC MLI Select calculator,30,CMHC MLI Select calculator,,informational-tool,Help developers assess points requirements fees and program fit,P0,Build a source-dated eligibility guide and transparent points estimator,The guide owns requirements and comparisons; /mli-select owns advisor and financing intent.
TPF-11,mli-select-service,/mli-select,proposed-or-cms-route,L2-L4-L5,MLI Select,1600,MLI Select,1600,mixed-commercial,Translate program eligibility into an executable financing plan,P0,Create or confirm the canonical service hub with qualification and take-out sequencing,Do not compete with CMHC on the definition alone; link to the guide for detailed rules.
TPF-12,sitewide-broker,/borrowers,existing,L4,mortgage broker Toronto,1300,mortgage broker Toronto,1300,commercial-investigation,Route broad borrower demand to specialist services,P2,Strengthen Toronto proof licensing trust and specialist-service routing,Do not retitle specialist pages around the broad broker query.
