"gate","status","detail"
"keyword-strategy-coverage","PASS","Expected 160; found 160"
"unique-keyword-strategy","PASS","Exactly one strategy row per keyword ID"
"exact-query-winner-coverage","PASS","Every keyword has at least three current winner references"
"cluster-coverage","PASS","All 18 canonical clusters have competitive rollups"
"canonical-owner-integrity","PASS","Strategies preserve the source-of-truth owner"
"strategy-required-fields","PASS","Every keyword has a complete outranking prescription"
"evidence-scope","PASS","Every row carries date, geography, and confidence"
"no-fabricated-authority-metrics","PASS","Traffic and backlink metrics remain unavailable, never invented"
"borrower-intent-only","PASS","Investor-only intent remains excluded"
"all-cannibalization-boundaries-preserved","PASS","Every cluster retains its canonical boundary"
