"id","query","normalizedQuery","segmentId","segmentName","borrowerProfile","financingTrigger","primaryFunnelLayer","layerName","secondaryFunnelLayer","intent","geography","clusterId","targetPath","pageType","priority","disposition","evidenceClass","marketMetricStatus","monthlySearches","cpc","difficulty","gscClicks","gscImpressions","gscCtr","gscPosition","fairlendGscStatus","serpValidationQuery","rankingScope","currentRankingUrls","observedAt","confidence","sourceRefs","rationale"
"KW-001","what is an A lender mortgage in Canada","what is an a lender mortgage in canada","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L1","awareness-education","","informational","Canada with Ontario application","a-guide","/resources/a-lender-mortgage-requirements-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports A-lender requirements guide; Prime-policy education; residential guide remains broad and B/private pages own non-prime routes."
"KW-002","how A lender mortgages work Ontario","how a lender mortgages work ontario","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L1","awareness-education","","informational","Ontario","a-guide","/resources/a-lender-mortgage-requirements-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports A-lender requirements guide; Prime-policy education; residential guide remains broad and B/private pages own non-prime routes."
"KW-003","prime mortgage lender meaning Canada","prime mortgage lender meaning canada","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L1","awareness-education","","informational","Canada with Ontario application","a-guide","/resources/a-lender-mortgage-requirements-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports A-lender requirements guide; Prime-policy education; residential guide remains broad and B/private pages own non-prime routes."
"KW-004","institutional mortgage explained Ontario","institutional mortgage explained ontario","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L1","awareness-education","","informational","Ontario","a-guide","/resources/a-lender-mortgage-requirements-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports A-lender requirements guide; Prime-policy education; residential guide remains broad and B/private pages own non-prime routes."
"KW-005","A lender mortgage requirements Ontario","a lender mortgage requirements ontario","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L2","problem-project-feasibility","","informational-feasibility","Ontario","a-guide","/resources/a-lender-mortgage-requirements-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports A-lender requirements guide; Prime-policy education; residential guide remains broad and B/private pages own non-prime routes."
"KW-006","minimum credit score for A lender mortgage Canada","minimum credit score for a lender mortgage canada","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L2","problem-project-feasibility","","informational-feasibility","Canada with Ontario application","a-guide","/resources/a-lender-mortgage-requirements-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports A-lender requirements guide; Prime-policy education; residential guide remains broad and B/private pages own non-prime routes."
"KW-007","A lender debt service ratios Canada","a lender debt service ratios canada","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L2","problem-project-feasibility","","informational-feasibility","Canada with Ontario application","a-guide","/resources/a-lender-mortgage-requirements-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports A-lender requirements guide; Prime-policy education; residential guide remains broad and B/private pages own non-prime routes."
"KW-008","self employed A lender mortgage Ontario","self employed a lender mortgage ontario","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L2","problem-project-feasibility","","informational-feasibility","Ontario","a-guide","/resources/a-lender-mortgage-requirements-ontario","Qualification guide","P1","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender mortgage requirements Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports A-lender requirements guide; Prime-policy education; residential guide remains broad and B/private pages own non-prime routes."
"KW-009","A lender vs B lender mortgage Ontario","a lender vs b lender mortgage ontario","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L3","evaluation-planning-comparison","","commercial-comparison","Ontario","lender-comparison","/resources/a-vs-b-vs-private-mortgage","Comparison / decision page","P0","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender vs B lender vs private mortgage Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports A vs B vs private mortgage comparison; Sole A/B/private comparison owner; individual service pages explain their tier but do not recreate the full matrix."
"KW-010","bank vs monoline mortgage lender Canada","bank vs monoline mortgage lender canada","prime-a","A / prime institutional mortgages","Borrower with strong credit, verifiable income, and bank-grade debt service","Purchase, renewal, switch, or graduation back to prime","L3","evaluation-planning-comparison","","commercial-comparison","Canada with Ontario application","lender-comparison","/resources/a-vs-b-vs-private-mortgage","Comparison / decision page","P0","Retain","current SERP / first-party directional","unavailable-not-zero","","","","","","","","not observed in fresh visible GSC query sample; unavailable-not-zero","A lender vs B lender vs private mortgage Ontario","cluster-primary SERP; not claimed as exact-query rank","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/ | https://www.nesto.ca/mortgage-basics/main-types-of-mortgage-lenders-in-canada/ | https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","2026-07-20","directional","SERP-PRIME-A;KP-UNAVAILABLE","Supports A vs B vs private mortgage comparison; Sole A/B/private comparison owner; individual service pages explain their tier but do not recreate the full matrix."
