"clusterId","clusterName","segments","canonicalOwner","priority","keywordCount","liveResultReferences","topRecurringDomains","top1Domains","dominantWinnerTypes","winningFormats","whatToMatch","fairlendOpening","recommendedOriginalAsset","proofGate","canonicalBoundary","evidenceObservedAt","confidence"
"residential-guide","Ontario residential mortgage guide","residential","/resources/ontario-residential-mortgage-guide","P2","12","60","fsrao.ca (15) | ratehub.ca (6) | wealthnorth.ca (5) | canada.ca (4) | mortgagesquad.ca (3) | firsthomeontario.ca (2) | insightscpa.ca (2) | lendtoday.ca (2)","fsrao.ca (5) | ratehub.ca (3) | canada.ca (1) | insightscpa.ca (1) | nerdwallet.com (1)","direct lender, brokerage, or specialist (30) | government / regulator (20) | comparison publisher / finance media (9) | bank / institutional product provider (1)","comparison / decision guide (4) | calculator / interactive tool (2) | commercial service / product page (2) | consumer guidance (2) | evergreen explainer / guide (1)","Answer-first structure; exact intent; Ontario/Canada language; primary-source citations; scannable decision support; visible risks and next step.","Combine regulator-grade education with a real lender-tier decision path, a no-obligation/no-credit discovery call, focused document list, and an explicit statement when the file or structure is not yet responsible.","Original comparison matrix + scenario calculator","Cite FSRA/FCAC/CMHC or Ontario primary sources; show brokerage #13827 and administrator #13828; attribute 28+ years and $1B+ funded to the principal broker with the July 14, 2026 methodology. Add one anonymized borrower scenario and a named editorial reviewer.","Broad residential education only; A/B/private pages own lender-tier qualification and rescue intent.","2026-07-20","medium — complete five-result scan"
"residential-service","Residential mortgage financing","residential","/borrowers/residential-mortgage-financing","P2","8","40","fsrao.ca (11) | legalclarity.org (3) | lendworth.ca (3) | ontariolend.ca (2) | ratecore.ca (2) | turnedaway.ca (2) | wealthnorth.ca (2) | 360lending.ca (1)","fsrao.ca (5) | insightlawfirm.ca (1) | legalclarity.org (1) | ontariolend.ca (1)","direct lender, brokerage, or specialist (20) | government / regulator (12) | legal / professional authority (5) | bank / institutional product provider (2) | comparison publisher / finance media (1)","commercial service / product page (4) | qualification process / checklist (2) | evergreen explainer / guide (1) | legal / rescue guide (1)","Answer-first structure; exact intent; Ontario/Canada language; primary-source citations; scannable decision support; visible risks and next step.","Combine regulator-grade education with a real lender-tier decision path, a no-obligation/no-credit discovery call, focused document list, and an explicit statement when the file or structure is not yet responsible.","Deadline triage flow + evidence checklist + sober risk notice","Cite FSRA/FCAC/CMHC or Ontario primary sources; show brokerage #13827 and administrator #13828; attribute 28+ years and $1B+ funded to the principal broker with the July 14, 2026 methodology. Add one anonymized borrower scenario and a named editorial reviewer.","Owns generic residential commercial intent; does not target A, B, private, HELOC, bridge, or rescue head terms.","2026-07-20","medium — complete five-result scan"
"a-guide","A-lender requirements guide","prime-a","/resources/a-lender-mortgage-requirements-ontario","P1","8","40","fsrao.ca (10) | canada.ca (4) | ratehub.ca (4) | wealthnorth.ca (4) | ontario.ca (3) | nerdwallet.com (2) | bankofcanada.ca (1) | bips.ca (1)","fsrao.ca (2) | canada.ca (1) | circlemortgage.ca (1) | fidelity.ca (1) | ontario.ca (1)","government / regulator (18) | direct lender, brokerage, or specialist (13) | comparison publisher / finance media (6) | legal / professional authority (3)","commercial service / product page (4) | evergreen explainer / guide (2) | consumer guidance (1) | qualification process / checklist (1)","Answer-first structure; exact intent; Ontario/Canada language; primary-source citations; scannable decision support; visible risks and next step.","Show the full A-lender route and the fallback/return path across institutional, B, and private capital using 28+ years and $1B+ funded principal-broker experience; start with a free, no-credit-inquiry scenario triage.","Answer-first explainer + route selector + annotated example","Cite FSRA/FCAC/CMHC or Ontario primary sources; show brokerage #13827 and administrator #13828; attribute 28+ years and $1B+ funded to the principal broker with the July 14, 2026 methodology. Add one anonymized borrower scenario and a named editorial reviewer.","Prime-policy education; residential guide remains broad and B/private pages own non-prime routes.","2026-07-20","medium — complete five-result scan"
"a-service","Institutional mortgage service","prime-a","/borrowers/institutional-mortgage","P1","8","40","fsrao.ca (5) | legalclarity.org (3) | ratehub.ca (3) | switchmortgages.ca (3) | bestratesgta.ca (2) | canada.ca (2) | ratecore.ca (2) | stonefieldcapital.ca (2)","fsrao.ca (2) | bestratesgta.ca (1) | canada.ca (1) | cornellmortgages.ca (1) | ratecore.ca (1)","direct lender, brokerage, or specialist (24) | government / regulator (7) | comparison publisher / finance media (5) | legal / professional authority (4)","commercial service / product page (6) | evergreen explainer / guide (1) | qualification process / checklist (1)","Answer-first structure; exact intent; Ontario/Canada language; primary-source citations; scannable decision support; visible risks and next step.","Show the full A-lender route and the fallback/return path across institutional, B, and private capital using 28+ years and $1B+ funded principal-broker experience; start with a free, no-credit-inquiry scenario triage.","Service decision module + lender-tier route selector + focused intake","Cite FSRA/FCAC/CMHC or Ontario primary sources; show brokerage #13827 and administrator #13828; attribute 28+ years and $1B+ funded to the principal broker with the July 14, 2026 methodology. Add one anonymized borrower scenario and a named editorial reviewer.","Prime institutional owner. Alternative B and private commercial intent must not be blended into the title/H1.","2026-07-20","medium — complete five-result scan"
"b-guide","B-lender mortgage guide","alternative-b","/resources/b-lender-mortgage-ontario","P1","8","40","fsrao.ca (6) | wealthnorth.ca (5) | nerdwallet.com (4) | guide-selling.fanniemae.com (2) | lendsimpl.ca (2) | nesto.ca (2) | 360lending.ca (1) | creditreboot.ca (1)","fsrao.ca (2) | creditreboot.ca (1) | guide-selling.fanniemae.com (1) | legalclarity.org (1) | lendsimpl.ca (1)","direct lender, brokerage, or specialist (21) | comparison publisher / finance media (8) | government / regulator (8) | legal / professional authority (3)","commercial service / product page (5) | consumer guidance (1) | evergreen explainer / guide (1) | qualification process / checklist (1)","Answer-first structure; exact intent; Ontario/Canada language; primary-source citations; scannable decision support; visible risks and next step.","Explain why the bank box failed, compare B versus private on all-in cost and exit, and provide a documented graduation path back to A instead of selling “approval” as the outcome.","Answer-first explainer + route selector + annotated example","Cite FSRA/FCAC/CMHC or Ontario primary sources; show brokerage #13827 and administrator #13828; attribute 28+ years and $1B+ funded to the principal broker with the July 14, 2026 methodology. Add one anonymized borrower scenario and a named editorial reviewer.","Institutional alternative only; no equity-first private promises or generic residential head terms.","2026-07-20","medium — complete five-result scan"
"b-service","Alternative mortgage service","alternative-b","/borrowers/alternative-mortgage","P1","8","40","nerdwallet.com (4) | turnedaway.ca (4) | wealthnorth.ca (4) | bestrates.ca (3) | lendworth.ca (2) | mortgagewars.ca (2) | ratecore.ca (2) | 360lending.ca (1)","turnedaway.ca (2) | blackbear.ca (1) | canada.ca (1) | chase.com (1) | mortgagewars.ca (1)","direct lender, brokerage, or specialist (27) | comparison publisher / finance media (8) | government / regulator (3) | bank / institutional product provider (1) | legal / professional authority (1)","commercial service / product page (6) | qualification process / checklist (2)","Answer-first structure; exact intent; Ontario/Canada language; primary-source citations; scannable decision support; visible risks and next step.","Explain why the bank box failed, compare B versus private on all-in cost and exit, and provide a documented graduation path back to A instead of selling “approval” as the outcome.","Deadline triage flow + evidence checklist + sober risk notice","Cite FSRA/FCAC/CMHC or Ontario primary sources; show brokerage #13827 and administrator #13828; attribute 28+ years and $1B+ funded to the principal broker with the July 14, 2026 methodology. Add one anonymized borrower scenario and a named editorial reviewer.","Owns B-lender commercial intent. Bank-declined private/rescue terms route to private service.","2026-07-20","medium — complete five-result scan"
"private-guide","Private mortgage costs and fit guide","private","/resources/private-mortgage-costs-ontario","Hold","8","40","fsrao.ca (13) | lendworth.ca (3) | federalreserve.gov (2) | law.cornell.edu (2) | circlemortgage.ca (1) | fca.gov (1) | finder.com (1) | goodhomecapital.ca (1)","fsrao.ca (5) | finder.com (1) | law.cornell.edu (1) | nerdwallet.com (1)","government / regulator (16) | direct lender, brokerage, or specialist (14) | legal / professional authority (6) | comparison publisher / finance media (4)","commercial service / product page (4) | evergreen explainer / guide (2) | consumer guidance (1) | qualification process / checklist (1)","Answer-first structure; exact intent; Ontario/Canada language; primary-source citations; scannable decision support; visible risks and next step.","Turn private lending into a transparent short-term plan using whole-cost disclosure, LTV/equity stress testing, appraisal context, commitment comparison, an exit-runway calculator, licensed brokerage/administration, and recovery-aware underwriting.","Answer-first explainer + route selector + annotated example","Cite FSRA/FCAC/CMHC or Ontario primary sources; show brokerage #13827 and administrator #13828; attribute 28+ years and $1B+ funded to the principal broker with the July 14, 2026 methodology. Add anonymized underwriting example, all-in cost assumptions, appraisal/LTV inputs, and exit evidence; no approval or recovery guarantees.","Publish only after the existing service owner is strengthened; never compete for “private mortgage lenders Ontario.”","2026-07-20","medium — complete five-result scan"
"private-service","Private mortgage financing","private|rescue","/borrowers/private-mortgage-financing","P0","14","70","fsrao.ca (10) | turnedaway.ca (8) | ratecore.ca (5) | stonefieldcapital.ca (5) | blackbear.ca (4) | bestratesgta.ca (3) | lendsimpl.ca (3) | lendworth.ca (3)","blackbear.ca (4) | fsrao.ca (4) | bestrates.ca (1) | lendtoday.ca (1) | lighthouselending.ca (1)","direct lender, brokerage, or specialist (49) | government / regulator (13) | legal / professional authority (4) | comparison publisher / finance media (2) | bank / institutional product provider (1)","commercial service / product page (10) | legal / rescue guide (3) | qualification process / checklist (1)","Answer-first structure; exact intent; Ontario/Canada language; primary-source citations; scannable decision support; visible risks and next step.","Turn private lending into a transparent short-term plan using whole-cost disclosure, LTV/equity stress testing, appraisal context, commitment comparison, an exit-runway calculator, licensed brokerage/administration, and recovery-aware underwriting.","Deadline triage flow + evidence checklist + sober risk notice","Cite FSRA/FCAC/CMHC or Ontario primary sources; show brokerage #13827 and administrator #13828; attribute 28+ years and $1B+ funded to the principal broker with the July 14, 2026 methodology. Add anonymized underwriting example, all-in cost assumptions, appraisal/LTV inputs, and exit evidence; no approval or recovery guarantees.","Single commercial owner for private and urgent bank-declined intent; rescue guide educates and triages, never duplicates the service pitch.","2026-07-20","medium — complete five-result scan"
"renovation-guide","Renovation financing options guide","renovation","/resources/renovation-financing-ontario","P1","8","40","renfi.ca (4) | buildmyhomeltd.ca (3) | cmhc-schl.gc.ca (3) | canada.ca (2) | nbc.ca (2) | ratehub.ca (2) | wealthnorth.ca (2) | 360lending.ca (1)","renfi.ca (3) | bankrate.com (1) | buildmyhomeltd.ca (1) | cmhc-schl.gc.ca (1) | manulifebank.ca (1)","direct lender, brokerage, or specialist (27) | government / regulator (6) | bank / institutional product provider (3) | comparison publisher / finance media (3) | community / forum (1)","commercial service / product page (4) | evergreen explainer / guide (3) | qualification process / checklist (1)","Answer-first structure; exact intent; Ontario/Canada language; primary-source citations; scannable decision support; visible risks and next step.","Underwrite the property and project together: scope, budget, contractor evidence, as-improved value, permits, working capital, draw timing, contingencies, and takeout—not merely a list of loan products.","Service decision module + lender-tier route selector + focused intake","Cite FSRA/FCAC/CMHC or Ontario primary sources; show brokerage #13827 and administrator #13828; attribute 28+ years and $1B+ funded to the principal broker with the July 14, 2026 methodology. Add a worked Ontario file with assumptions, timeline, verification points, contingency, and takeout source.","Existing dwelling improvements only; ground-up builds and major construction draws belong to construction financing.","2026-07-20","medium — complete five-result scan"
"renovation-service","Renovation financing service","renovation","/borrowers/renovation-financing","P1","8","40","cmhc-schl.gc.ca (3) | 360lending.ca (2) | federalreserve.gov (2) | news.ontario.ca (2) | renfi.ca (2) | bestratesgta.ca (1) | canada.ca (1) | csgrenovation.ca (1)","cmhc-schl.gc.ca (2) | 360lending.ca (1) | merriam-webster.com (1) | news.ontario.ca (1) | renfi.ca (1)","direct lender, brokerage, or specialist (27) | government / regulator (7) | comparison publisher / finance media (2) | legal / professional authority (2) | bank / institutional product provider (1)","commercial service / product page (6) | consumer guidance (1) | qualification process / checklist (1)","Answer-first structure; exact intent; Ontario/Canada language; primary-source citations; scannable decision support; visible risks and next step.","Underwrite the property and project together: scope, budget, contractor evidence, as-improved value, permits, working capital, draw timing, contingencies, and takeout—not merely a list of loan products.","Service decision module + lender-tier route selector + focused intake","Cite FSRA/FCAC/CMHC or Ontario primary sources; show brokerage #13827 and administrator #13828; attribute 28+ years and $1B+ funded to the principal broker with the July 14, 2026 methodology. Add a worked Ontario file with assumptions, timeline, verification points, contingency, and takeout source.","Commercial renovation intent; no ground-up construction or general revolving-equity head terms.","2026-07-20","medium — complete five-result scan"
