evidenceId,opportunityId,proposedUrl,workstream,requirement,status,owner,sourceObservationRefs,verificationGate,refreshCadence
evidence-homepage-pathways-external-source-pack,opportunity-homepage-pathways,/,five-plus-unit-multiplex-mli-select,Recorded external and local source observations supporting the page decision,available-general,FairLend SEO operator,source-observation-live-home-response-2026-07-16 | source-observation-audit-page-20,"Source URL, timestamp, jurisdiction, anchor, and freshness recorded",30 days for financial programs; 90 days for planning rules
evidence-homepage-pathways-original-1,opportunity-homepage-pathways,/,five-plus-unit-multiplex-mli-select,Verified licence and service-area identity,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-homepage-pathways-original-2,opportunity-homepage-pathways,/,five-plus-unit-multiplex-mli-select,Named partner-role map,missing,FairLend compliance,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-homepage-pathways-original-3,opportunity-homepage-pathways,/,five-plus-unit-multiplex-mli-select,Approved project-qualification matrix,missing,FairLend Principal Broker,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-homepage-pathways-mblaa-brokerage-identity,opportunity-homepage-pathways,/,five-plus-unit-multiplex-mli-select,FSRA-verified authorized brokerage name and brokerage licence number for clear and prominent display on every public page,missing,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker validates the public registry record and page-level display before drafting and publication,before drafting and before publication
evidence-homepage-pathways-mblaa-individual-identity,opportunity-homepage-pathways,/,five-plus-unit-multiplex-mli-select,"FSRA-verified licensed names, prescribed licence-class titles, and brokerage attribution for every broker or agent who appears",pending-if-individual-named,FairLend Principal Broker and compliance,source-official-ontario-individual-public-relations,"Principal Broker validates each identity, title, and attribution or the page names no individual",before drafting and before publication
evidence-homepage-pathways-mblaa-rate-advertising,opportunity-homepage-pathways,/,five-plus-unit-multiplex-mli-select,"APR, term, equal-prominence, and representative-example control for any fixed-amount mortgage rate, payment, or non-interest-charge representation",pending-if-trigger-used,FairLend Principal Broker and compliance,source-official-ontario-cost-of-borrowing-advertising,Principal Broker and compliance approve the calculation and rendered prominence or the page contains no triggering representation,before drafting and before publication
evidence-homepage-pathways-mblaa-misleading-guarantee-control,opportunity-homepage-pathways,/,five-plus-unit-multiplex-mli-select,"Public-output control excluding guarantees, guaranteed approval or outcomes, false or misleading statements, and regulatory-endorsement framing",pending,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker and compliance complete a rendered-page review before publication,before drafting and before publication
evidence-homepage-pathways-approval,opportunity-homepage-pathways,/,five-plus-unit-multiplex-mli-select,"Page-level financial, legal, privacy, planning, tax, and marketing review",pending,FairLend compliance,,All linked claim records and original-evidence requirements cleared for intended usage,before drafting and before publication
evidence-five-plus-mli-financing-external-source-pack,opportunity-five-plus-mli-financing,/multiplex-financing-gta,five-plus-unit-multiplex-mli-select,Recorded external and local source observations supporting the page decision,available-general,FairLend SEO operator,source-official-toronto-sixplex | source-public-serp-multiplex,"Source URL, timestamp, jurisdiction, anchor, and freshness recorded",30 days for financial programs; 90 days for planning rules
evidence-five-plus-mli-financing-original-1,opportunity-five-plus-mli-financing,/multiplex-financing-gta,five-plus-unit-multiplex-mli-select,Approved five-plus intake criteria,missing,FairLend Principal Broker,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-five-plus-mli-financing-original-2,opportunity-five-plus-mli-financing,/multiplex-financing-gta,five-plus-unit-multiplex-mli-select,Construction-to-stabilization-to-takeout process map,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-five-plus-mli-financing-original-3,opportunity-five-plus-mli-financing,/multiplex-financing-gta,five-plus-unit-multiplex-mli-select,Partner-role evidence,missing,FairLend compliance,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-five-plus-mli-financing-original-4,opportunity-five-plus-mli-financing,/multiplex-financing-gta,five-plus-unit-multiplex-mli-select,Current official program sources,missing,FairLend SEO operator and assigned professional reviewer,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-five-plus-mli-financing-mblaa-brokerage-identity,opportunity-five-plus-mli-financing,/multiplex-financing-gta,five-plus-unit-multiplex-mli-select,FSRA-verified authorized brokerage name and brokerage licence number for clear and prominent display on every public page,missing,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker validates the public registry record and page-level display before drafting and publication,before drafting and before publication
evidence-five-plus-mli-financing-mblaa-individual-identity,opportunity-five-plus-mli-financing,/multiplex-financing-gta,five-plus-unit-multiplex-mli-select,"FSRA-verified licensed names, prescribed licence-class titles, and brokerage attribution for every broker or agent who appears",pending-if-individual-named,FairLend Principal Broker and compliance,source-official-ontario-individual-public-relations,"Principal Broker validates each identity, title, and attribution or the page names no individual",before drafting and before publication
evidence-five-plus-mli-financing-mblaa-rate-advertising,opportunity-five-plus-mli-financing,/multiplex-financing-gta,five-plus-unit-multiplex-mli-select,"APR, term, equal-prominence, and representative-example control for any fixed-amount mortgage rate, payment, or non-interest-charge representation",pending-if-trigger-used,FairLend Principal Broker and compliance,source-official-ontario-cost-of-borrowing-advertising,Principal Broker and compliance approve the calculation and rendered prominence or the page contains no triggering representation,before drafting and before publication
evidence-five-plus-mli-financing-mblaa-misleading-guarantee-control,opportunity-five-plus-mli-financing,/multiplex-financing-gta,five-plus-unit-multiplex-mli-select,"Public-output control excluding guarantees, guaranteed approval or outcomes, false or misleading statements, and regulatory-endorsement framing",pending,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker and compliance complete a rendered-page review before publication,before drafting and before publication
evidence-five-plus-mli-financing-approval,opportunity-five-plus-mli-financing,/multiplex-financing-gta,five-plus-unit-multiplex-mli-select,"Page-level financial, legal, privacy, planning, tax, and marketing review",pending,FairLend compliance,,All linked claim records and original-evidence requirements cleared for intended usage,before drafting and before publication
evidence-mli-select-planning-guide-external-source-pack,opportunity-mli-select-planning-guide,/multiplex-financing-gta/mli-select,five-plus-unit-multiplex-mli-select,Recorded external and local source observations supporting the page decision,available-general,FairLend SEO operator,source-official-toronto-sixplex | source-official-toronto-development-charges,"Source URL, timestamp, jurisdiction, anchor, and freshness recorded",30 days for financial programs; 90 days for planning rules
evidence-mli-select-planning-guide-original-1,opportunity-mli-select-planning-guide,/multiplex-financing-gta/mli-select,five-plus-unit-multiplex-mli-select,Current scorecard interpretation,missing,FairLend SEO operator and assigned professional reviewer,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-mli-select-planning-guide-original-2,opportunity-mli-select-planning-guide,/multiplex-financing-gta/mli-select,five-plus-unit-multiplex-mli-select,Approved-lender review,missing,FairLend Principal Broker,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-mli-select-planning-guide-original-3,opportunity-mli-select-planning-guide,/multiplex-financing-gta/mli-select,five-plus-unit-multiplex-mli-select,FairLend process diagram,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-mli-select-planning-guide-original-4,opportunity-mli-select-planning-guide,/multiplex-financing-gta/mli-select,five-plus-unit-multiplex-mli-select,Current program freshness log,missing,FairLend SEO operator and assigned professional reviewer,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-mli-select-planning-guide-mblaa-brokerage-identity,opportunity-mli-select-planning-guide,/multiplex-financing-gta/mli-select,five-plus-unit-multiplex-mli-select,FSRA-verified authorized brokerage name and brokerage licence number for clear and prominent display on every public page,missing,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker validates the public registry record and page-level display before drafting and publication,before drafting and before publication
evidence-mli-select-planning-guide-mblaa-individual-identity,opportunity-mli-select-planning-guide,/multiplex-financing-gta/mli-select,five-plus-unit-multiplex-mli-select,"FSRA-verified licensed names, prescribed licence-class titles, and brokerage attribution for every broker or agent who appears",pending-if-individual-named,FairLend Principal Broker and compliance,source-official-ontario-individual-public-relations,"Principal Broker validates each identity, title, and attribution or the page names no individual",before drafting and before publication
evidence-mli-select-planning-guide-mblaa-rate-advertising,opportunity-mli-select-planning-guide,/multiplex-financing-gta/mli-select,five-plus-unit-multiplex-mli-select,"APR, term, equal-prominence, and representative-example control for any fixed-amount mortgage rate, payment, or non-interest-charge representation",pending-if-trigger-used,FairLend Principal Broker and compliance,source-official-ontario-cost-of-borrowing-advertising,Principal Broker and compliance approve the calculation and rendered prominence or the page contains no triggering representation,before drafting and before publication
evidence-mli-select-planning-guide-mblaa-misleading-guarantee-control,opportunity-mli-select-planning-guide,/multiplex-financing-gta/mli-select,five-plus-unit-multiplex-mli-select,"Public-output control excluding guarantees, guaranteed approval or outcomes, false or misleading statements, and regulatory-endorsement framing",pending,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker and compliance complete a rendered-page review before publication,before drafting and before publication
evidence-mli-select-planning-guide-approval,opportunity-mli-select-planning-guide,/multiplex-financing-gta/mli-select,five-plus-unit-multiplex-mli-select,"Page-level financial, legal, privacy, planning, tax, and marketing review",pending,FairLend compliance,,All linked claim records and original-evidence requirements cleared for intended usage,before drafting and before publication
evidence-five-plus-financing-roadmap-external-source-pack,opportunity-five-plus-financing-roadmap,/multiplex-financing-gta/project-financing-roadmap,five-plus-unit-multiplex-mli-select,Recorded external and local source observations supporting the page decision,available-general,FairLend SEO operator,source-official-toronto-sixplex | source-official-toronto-multiplex-guide,"Source URL, timestamp, jurisdiction, anchor, and freshness recorded",30 days for financial programs; 90 days for planning rules
evidence-five-plus-financing-roadmap-original-1,opportunity-five-plus-financing-roadmap,/multiplex-financing-gta/project-financing-roadmap,five-plus-unit-multiplex-mli-select,Stage-gate diagram,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-five-plus-financing-roadmap-original-2,opportunity-five-plus-financing-roadmap,/multiplex-financing-gta/project-financing-roadmap,five-plus-unit-multiplex-mli-select,Required-document matrix,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-five-plus-financing-roadmap-original-3,opportunity-five-plus-financing-roadmap,/multiplex-financing-gta/project-financing-roadmap,five-plus-unit-multiplex-mli-select,Partner-role and handoff map,missing,FairLend compliance,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-five-plus-financing-roadmap-original-4,opportunity-five-plus-financing-roadmap,/multiplex-financing-gta/project-financing-roadmap,five-plus-unit-multiplex-mli-select,Takeout-readiness checklist,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-five-plus-financing-roadmap-mblaa-brokerage-identity,opportunity-five-plus-financing-roadmap,/multiplex-financing-gta/project-financing-roadmap,five-plus-unit-multiplex-mli-select,FSRA-verified authorized brokerage name and brokerage licence number for clear and prominent display on every public page,missing,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker validates the public registry record and page-level display before drafting and publication,before drafting and before publication
evidence-five-plus-financing-roadmap-mblaa-individual-identity,opportunity-five-plus-financing-roadmap,/multiplex-financing-gta/project-financing-roadmap,five-plus-unit-multiplex-mli-select,"FSRA-verified licensed names, prescribed licence-class titles, and brokerage attribution for every broker or agent who appears",pending-if-individual-named,FairLend Principal Broker and compliance,source-official-ontario-individual-public-relations,"Principal Broker validates each identity, title, and attribution or the page names no individual",before drafting and before publication
evidence-five-plus-financing-roadmap-mblaa-rate-advertising,opportunity-five-plus-financing-roadmap,/multiplex-financing-gta/project-financing-roadmap,five-plus-unit-multiplex-mli-select,"APR, term, equal-prominence, and representative-example control for any fixed-amount mortgage rate, payment, or non-interest-charge representation",pending-if-trigger-used,FairLend Principal Broker and compliance,source-official-ontario-cost-of-borrowing-advertising,Principal Broker and compliance approve the calculation and rendered prominence or the page contains no triggering representation,before drafting and before publication
evidence-five-plus-financing-roadmap-mblaa-misleading-guarantee-control,opportunity-five-plus-financing-roadmap,/multiplex-financing-gta/project-financing-roadmap,five-plus-unit-multiplex-mli-select,"Public-output control excluding guarantees, guaranteed approval or outcomes, false or misleading statements, and regulatory-endorsement framing",pending,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker and compliance complete a rendered-page review before publication,before drafting and before publication
evidence-five-plus-financing-roadmap-approval,opportunity-five-plus-financing-roadmap,/multiplex-financing-gta/project-financing-roadmap,five-plus-unit-multiplex-mli-select,"Page-level financial, legal, privacy, planning, tax, and marketing review",pending,FairLend compliance,,All linked claim records and original-evidence requirements cleared for intended usage,before drafting and before publication
evidence-garden-laneway-financing-external-source-pack,opportunity-garden-laneway-financing,/garden-suite-financing-gta,garden-laneway-suite-financing,Recorded external and local source observations supporting the page decision,available-general,FairLend SEO operator,source-official-toronto-garden-suites | source-official-toronto-laneway-suites | source-public-serp-garden,"Source URL, timestamp, jurisdiction, anchor, and freshness recorded",30 days for financial programs; 90 days for planning rules
evidence-garden-laneway-financing-original-1,opportunity-garden-laneway-financing,/garden-suite-financing-gta,garden-laneway-suite-financing,Approved suite-financing criteria,missing,FairLend Principal Broker,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-garden-laneway-financing-original-2,opportunity-garden-laneway-financing,/garden-suite-financing-gta,garden-laneway-suite-financing,Address-feasibility intake,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-garden-laneway-financing-original-3,opportunity-garden-laneway-financing,/garden-suite-financing-gta,garden-laneway-suite-financing,Financing-option decision table,missing,FairLend Principal Broker,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-garden-laneway-financing-original-4,opportunity-garden-laneway-financing,/garden-suite-financing-gta,garden-laneway-suite-financing,Partner-role and permit handoff map,missing,FairLend compliance,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-garden-laneway-financing-mblaa-brokerage-identity,opportunity-garden-laneway-financing,/garden-suite-financing-gta,garden-laneway-suite-financing,FSRA-verified authorized brokerage name and brokerage licence number for clear and prominent display on every public page,missing,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker validates the public registry record and page-level display before drafting and publication,before drafting and before publication
