id,keyword,normalizedKeyword,funnelLayer,funnelStage,topicCluster,searchIntent,monthlySearches,keywordDifficulty,metricStatus,trafficQualification,priority,targetPath,pageRole,disposition,sourceDate,sourceFile,notes
KWF-001,garden suite,garden suite,L1,awareness-education,garden-laneway-feasibility,informational,1900,0,live,ambiguous-secondary,P0,/garden-suite,feasibility-hub,retain-secondary,2026-07-16,research/openseo/trial-2026-07-16/deliverables/keyword-universe.csv,Singular head term is contaminated by hotel and non-ADU intent; use as a body synonym rather than the title target.
KWF-002,toronto zoning,toronto zoning,L1,awareness-education,municipal-permits-zoning,informational,1600,0,numeric-discovery-metric,authority-support,P1,/resources/toronto-permit-zoning-navigator,source-navigator,retain-secondary,2026-07-17,research/openseo/expansion-2026-07-17/deliverables/keyword-universe.csv,Official municipal pages own the head query; target project-specific interpretation and link to primary sources.
KWF-003,toronto zoning bylaw,toronto zoning bylaw,L1,awareness-education,municipal-permits-zoning,informational,1600,0,numeric-discovery-metric,authority-support,P1,/resources/toronto-permit-zoning-navigator,source-navigator,retain-secondary,2026-07-17,research/openseo/expansion-2026-07-17/deliverables/keyword-universe.csv,Do not present FairLend as the legal authority; translate rules into financing-readiness implications.
KWF-004,how does construction financing work in Ontario,how does construction financing work in ontario,L1,awareness-education,construction-financing,informational,,,unavailable-not-zero,qualified,P0,/construction-financing-ontario,money-page-explainer,retain-primary,2026-07-19,research/keyword-and-funnel/landing-services-funnel-2026-07-19/keyword-universe.csv,Answer the process before presenting the lender-matching CTA.
KWF-005,what is a construction mortgage,what is a construction mortgage,L1,awareness-education,construction-financing,informational,,,unavailable-not-zero,qualified,P0,/construction-financing-ontario,money-page-explainer,retain-secondary,2026-07-19,research/keyword-and-funnel/landing-services-funnel-2026-07-19/keyword-universe.csv,Definition belongs in the broad construction page and should not create a separate thin article.
KWF-006,can I build a garden suite Toronto,can i build a garden suite toronto,L1,awareness-education,garden-laneway-feasibility,informational,,,unavailable-not-zero,qualified,P0,/garden-suite,feasibility-hub,retain-primary,2026-07-19,research/keyword-and-funnel/landing-services-funnel-2026-07-19/keyword-universe.csv,Lead with zoning eligibility and property constraints.
KWF-007,garden suite permit requirements Toronto,garden suite permit requirements toronto,L1,awareness-education,municipal-permits-zoning,informational,,,exact-request-returned-no-row,authority-support,P1,/resources/toronto-permit-zoning-navigator,source-navigator,retain-primary,2026-07-17,research/openseo/expansion-2026-07-17/deliverables/keyword-universe.csv,Use current City of Toronto sources and a date-stamped checklist.
KWF-008,what is a laneway suite Toronto,what is a laneway suite toronto,L1,awareness-education,garden-laneway-feasibility,informational,,,unavailable-not-zero,qualified,P1,/garden-suite,feasibility-hub,retain-secondary,2026-07-19,research/keyword-and-funnel/landing-services-funnel-2026-07-19/keyword-universe.csv,Explain the garden-suite versus laneway-suite distinction on the shared feasibility hub.
KWF-009,can I build a multiplex in Toronto,can i build a multiplex in toronto,L1,awareness-education,multiplex-feasibility,informational,,,exact-request-returned-no-row,qualified,P1,/resources/toronto-multiplex-financing-guide,research-guide,retain-primary,2026-07-17,research/openseo/expansion-2026-07-17/deliverables/keyword-universe.csv,Combine planning constraints with the one-to-four versus five-plus financing split.
KWF-010,single family to multiplex Toronto,single family to multiplex toronto,L1,awareness-education,multiplex-feasibility,informational,,,exact-request-returned-no-row,qualified,P1,/resources/toronto-multiplex-financing-guide,research-guide,retain-primary,2026-07-17,research/openseo/expansion-2026-07-17/deliverables/keyword-universe.csv,Cover conversion sequencing and lender document dependencies.
