id,claim,status,allowedUsage,requiredEvidence,owner,reviewBy,confidence,sourceObservationRefs
claim-mli-minimum-five-units,MLI Select requires at least five residential units and a minimum qualifying point score.,supported,brief-requirement,Current CMHC fact sheet | Approved-lender confirmation before project-specific use,FairLend Principal Broker,2026-08-15T12:00:00-04:00,high,source-official-cmhc-mli-select | source-official-cmhc-mli-live
claim-mli-up-to-leverage-amortization,Qualifying new-construction MLI Select projects may receive up to 95% LTC and up to 50-year amortization at specified point levels.,supported,brief-requirement,Current CMHC table | Prominent up-to qualifier | Project-specific approved-lender decision,FairLend Principal Broker,2026-08-15T12:00:00-04:00,high,source-official-cmhc-mli-select
claim-toronto-sixplex-not-citywide,Toronto fiveplex and sixplex permissions are not citywide and require address-specific zoning review.,supported,brief-requirement,Current certified by-law | Current zoning map | Address-specific planning review,FairLend Content Compliance,2026-10-14T12:00:00-04:00,high,source-official-toronto-sixplex
claim-cmhc-refinance-up-to-four-units,CMHC Refinance is a distinct densification path for qualifying properties with up to four total units and is not MLI Select.,supported,brief-requirement,Current CMHC Refinance fact sheet | Project-specific lender and insurer review,FairLend Principal Broker,2026-08-15T12:00:00-04:00,high,source-official-cmhc-refinance | source-official-cmhc-mli-select
claim-toronto-suite-definitions,Toronto garden and laneway suites are separate planning concepts with different public-lane and site requirements.,supported,brief-requirement,Current Toronto pages | Address-specific zoning and permit review,FairLend Content Compliance,2026-10-14T12:00:00-04:00,high,source-official-toronto-garden-suites | source-official-toronto-laneway-suites
claim-toronto-short-term-rental-boundary,"Toronto short-term rentals are under 28 consecutive days and are restricted to the operator's principal residence, including ancillary-suite-specific rules.",supported,brief-requirement,Current Toronto operator rules | Address and principal-residence review,FairLend Content Compliance,2026-08-15T12:00:00-04:00,high,source-official-toronto-short-term-rentals
claim-federal-secondary-suite-loan-available,"The proposed federal CAD 80,000 Canada Secondary Suite Loan Program is available.",prohibited,never,A future official federal source explicitly reversing the cancellation,FairLend Content Compliance,,high,source-official-budget-secondary-suite-cancelled
claim-toronto-forgivable-suite-loan-available,Toronto's former Affordable Laneway Suites forgivable-loan program is currently available.,prohibited,never,A future City source explicitly relaunching the program,FairLend Content Compliance,,high,source-official-toronto-suite-dc-deferral
claim-ontario-enhanced-rental-rebate,"Ontario announced a temporary enhanced rental rebate with a potential provincial component up to CAD 80,000 per eligible unit; current availability and project eligibility are not established by this research.",requires-review,research-only,Current enacted authority and application availability | Project dates and unit facts | Tax-professional opinion | Interaction review with federal rebates | Explicit prohibition on availability language until these gates pass,FairLend Content Compliance,2026-08-15T12:00:00-04:00,medium,source-official-ontario-hst-2026 | source-official-cra-pbrh
claim-drawflow-on-demand-line,"DrawFlow operates like a line of credit whose available funds increase as work is completed and verified, with borrower-controlled draw timing.",provisional-unverified,research-only,Approved product term sheet | Operating procedure | Eligible-cost and verification policy | Legal and compliance review,FairLend Principal Broker,,low,source-user-positioning | source-official-canada-guaranty-draws
claim-drawflow-fifty-percent,DrawFlow case studies support up to 50% interest savings under specific comparison assumptions.,provisional-unverified,research-only,"Underlying approved case files | Period-by-period comparable baseline and actual interest-only calculation | Fees and total financing costs reported separately from interest | Selection-method and maximum-result disclosure | Borrower consent and anonymization review | Principal Broker, legal, and compliance approval",FairLend Principal Broker,,low,source-user-positioning
claim-one-stop-end-to-end,"FairLend proposes to act as a coordinated point of contact for qualified projects while independent specialists perform their regulated work; financing, permits, completion, and takeout remain subject to underwriting, third-party decisions, project facts, and current program rules.",provisional-unverified,research-only,Named partner roles and agreements | Service boundary and responsibility map | Project eligibility criteria | Representative approved outcomes | Compliance approval,FairLend Principal Broker,,medium,source-user-positioning | source-official-toronto-multiplex-guide
claim-referral-compensation-disclosure,"Ontario referral and financial-benefit arrangements require role, compensation, conflict, consent, and information-use review under applicable FSRA and RECO requirements.",supported,brief-requirement,Current FSRA guidance | Current RECO guidance | FairLend legal and compliance approval,FairLend Principal Broker,2026-08-15T12:00:00-04:00,high,source-official-fsra-referrals | source-official-reco-financial-benefits
