id,cluster,funnelStage,question,metricStatus,recommendedAnswerUnit,conversionBridge,sourceGate
q-001,garden-suite-cost-feasibility,awareness-research,How much does a garden suite cost in Toronto?,Numeric discovery metric exists for close exact variants,Assumption-led range table plus calculator,Model my property/project,Dated local cost inputs plus estimate disclaimer
q-002,garden-suite-cost-feasibility,awareness-research,What soft costs should I budget before garden-suite construction starts?,Unavailable exact volume,Soft-cost category table and worksheet,Review my budget,Designer engineer municipal and lender review
q-003,garden-suite-cost-feasibility,awareness-research,Can I build a garden suite on my Toronto property?,Exact request returned no row,Address-screening decision tree,Screen this property,City of Toronto zoning and planning sources
q-004,garden-suite-cost-feasibility,awareness-research,What is the difference between a garden suite and a laneway suite in Toronto?,Unavailable exact volume,Side-by-side decision matrix,Screen this property,City definitions and current by-laws
q-005,garden-suite-cost-feasibility,feasibility-consideration,How much rental income could a garden suite produce?,Exact request returned no row,Scenario model with user-supplied rent assumptions,Model my project,No rent or ROI promise; current comparable evidence required
q-006,garden-suite-cost-feasibility,feasibility-consideration,Is a garden suite a better supplemental-income strategy than Airbnb or a second mortgage?,Unavailable exact volume,Use-case and risk comparison,Book a strategy assessment,Legal tax insurance mortgage and municipal review
q-007,garden-suite-cost-feasibility,awareness-research,What permits and professional drawings does a Toronto garden suite need?,Exact request returned no row,Responsibility matrix and permit checklist,Screen this property,City permit guide and qualified designer review
q-008,garden-suite-cost-feasibility,awareness-research,Can I use Mississauga's pre-approved garden-suite plans on my property?,Discovery volume exists for garden suite Mississauga,Plan eligibility and remaining-obligations checklist,Price and finance this property,Current City of Mississauga program source
q-009,mli-select-requirements,awareness-research,What are the current CMHC MLI Select requirements?,Discovery volume 30 for CMHC phrase,Primary-source requirements matrix,Assess my 5+ unit path,CMHC refresh within 30 days
q-010,mli-select-requirements,awareness-research,How many units does an MLI Select project need?,Live SERP and official answer,Short direct answer plus 2-4 versus 5+ decision tree,Assess my project,CMHC current eligibility page
q-011,mli-select-requirements,awareness-research,How does the MLI Select points system work?,Exact request returned no row,Interactive points explainer with official-source links,Model my project,CMHC point tables and update date
q-012,mli-select-requirements,feasibility-consideration,How do affordability commitments affect rents and financing?,Exact request returned no row,Commitment scenario table,Assess my project,CMHC current affordability criteria plus professional review
q-013,mli-select-requirements,feasibility-consideration,What energy decisions must be made before design is finalized?,Exact request returned no row,Design-stage checklist and responsibility map,Review project readiness,CMHC plus qualified energy consultant
q-014,mli-select-requirements,feasibility-consideration,What accessibility and visitability requirements affect unit design?,Exact request returned no row,Requirement matrix and design-stage checklist,Review project readiness,CMHC plus qualified accessibility/design review
q-015,mli-select-requirements,feasibility-consideration,What net-worth and liquidity evidence will a 5+ unit file need?,Unavailable exact volume,Documentation checklist with case-specific caveat,Review my readiness file,CMHC approved lender and current documents
q-016,mli-select-requirements,feasibility-consideration,Which pre-construction choices can make takeout financing harder later?,Unavailable exact volume,Failure-mode timeline,Map my takeout path,CMHC lender valuation operations and design evidence
q-017,mli-select-requirements,feasibility-consideration,What documents belong in an MLI Select application package?,Exact request returned no row,Downloadable responsibility checklist,Review my readiness file,CMHC Required Documentation Guide
q-018,draw-schedule-cash-flow,awareness-research,How does a construction loan draw schedule work?,Discovery volume 10 and live SERP,Worked five-stage example and glossary,Review my schedule,Lender-specific and illustrative disclaimer
q-019,draw-schedule-cash-flow,awareness-research,What is a progress-draw mortgage in Ontario?,Exact provider row returned null volume,Process diagram,Review my schedule,Lender and Ontario legal review
q-020,draw-schedule-cash-flow,feasibility-consideration,Why can reimbursement draws create a cash-flow gap?,Unavailable exact volume,Cumulative-cash exposure chart,Compare DrawFlow,Builder case evidence and lender process review
q-021,draw-schedule-cash-flow,feasibility-consideration,How are deposits for windows kitchens HVAC and materials funded before inspection?,Unavailable exact volume,Deposit-to-draw timeline,Compare my project cash flow,Supplier contract budget and lender-specific evidence
q-022,draw-schedule-cash-flow,awareness-research,What should a construction draw schedule template contain?,Discovery volume 10 for template variants,Editable spreadsheet plus field glossary,Download then request review,Professional budget and lender review
q-023,draw-schedule-cash-flow,awareness-research,How do holdback and contingency affect available cash?,Unavailable exact volume,Worked example with legal caveat,Review my budget,Ontario Construction Act and legal review
q-024,draw-schedule-cash-flow,feasibility-consideration,How does on-demand availability differ from a conventional draw?,Unavailable exact volume,Mechanism comparison table,Compare DrawFlow,Product counsel and compliance review
q-025,draw-schedule-cash-flow,feasibility-consideration,Can flexible draws reduce felt interest cost?,Unavailable exact volume,Case-methodology explainer without savings headline,Request a comparison,Publication locked until case files reproduce claim
q-026,municipal-permits-zoning,awareness-research,How do I check Toronto zoning for a property?,Discovery volume 1600,Official-tool walkthrough,Screen this property,City interactive map and planning disclaimer
q-027,municipal-permits-zoning,awareness-research,How do I find development applications near a Toronto address?,Discovery volume 1900,Application Information Centre walkthrough,Research this property,City AIC current source
q-028,municipal-permits-zoning,awareness-research,What does each Toronto building-permit status mean?,Discovery volume 2400 for head term,Plain-language status/source navigator,Prepare my financing file,City status glossary and no-timeline disclaimer
q-029,multiplex-feasibility,awareness-research,Can I convert a Toronto house into a multiplex?,Exact request returned no row,Property and project decision tree,Screen this property,City multiplex and permit sources
q-030,multiplex-feasibility,awareness-research,What changes when a project goes from four units to five or more?,Unavailable exact volume,Regulatory and financing boundary matrix,Assess my 5+ unit path,Planning building code insurance tax CMHC and lender review
q-031,multiplex-feasibility,feasibility-consideration,How much equity should I expect to contribute to a multiplex project?,Unavailable exact volume,Scenario inputs and lender-variation explainer,Request feasibility review,No universal percentage; current lender and project facts
q-032,multiplex-feasibility,feasibility-consideration,Can acquisition and construction financing be arranged together?,Unavailable exact volume,Capital-stack timeline,Assess this purchase opportunity,Lender legal valuation and borrower review
q-033,construction-financing-readiness,awareness-research,What documents are required for a construction loan in Ontario?,Exact request returned no row,Document checklist,Build my readiness file,Lender-specific review
q-034,construction-financing-readiness,awareness-research,How does construction financing work in Ontario?,Exact request returned no row,End-to-end process map,Map my project,Legal lender and compliance review
q-035,construction-financing-readiness,feasibility-consideration,What belongs in a lender-ready construction budget?,Exact request returned no row,Spreadsheet and category glossary,Review my budget,Builder QS and lender review
q-036,construction-financing-readiness,feasibility-consideration,How should interest reserve soft costs and contingency be modeled?,Exact request returned no row,Scenario model,Review my budget,Professional and lender review
q-037,builder-capital-readiness,feasibility-consideration,Can a first-time developer qualify for construction financing?,Exact request returned no row,Strength-gap-remediation matrix,Get a readiness review,No approval promise; case-specific underwriting
q-038,builder-capital-readiness,buying-signal,What can a viable borrower do after a bank declines the construction loan?,Exact request returned no row,Diagnostic pathway and evidence checklist,Request file review,Avoid bad-credit generic positioning; suitability review
q-039,modular-prefab-financing,feasibility-consideration,How are off-site factory deposits handled in modular construction financing?,Unavailable exact volume,Deposit verification and draw timeline,Assess my modular project,Manufacturer contract lender and takeout review
q-040,rental-conversion-takeout,feasibility-consideration,How do I plan construction stabilization and takeout financing as one strategy?,Unavailable exact volume,Lifecycle roadmap,Map my end-to-end path,Current lender CMHC valuation and operating assumptions
