id,serviceId,serviceName,query,normalizedQuery,clusterId,persona,financingTrigger,lifecycleStage,funnelHeadline,funnelStage,geography,intent,relevanceDisposition,dataStatus,monthlySearches,trendSeasonality,cpc,paidCompetition,difficulty,gscClicks,gscImpressions,gscCtr,gscPosition,answerSocratesObserved,serpValidated,observedAt,leadCaptureScore,authorityBuildScore,confidence,recommendedPageType,targetPath,sourceObservationRefs,evidenceNote
KW-001,residential-mortgages,Residential Mortgages,how do mortgages work in Ontario,how do mortgages work in ontario,residential-mortgages-awareness-education,Ontario homeowner or homebuyer,"purchase, first home, or equity access",awareness-education,Research,awareness-education,Ontario; Toronto/GTA where explicit,informational,retain,unavailable-not-zero,,Unavailable at query level,Unavailable,Unavailable,Unavailable,,,,,no,representative-serp,2026-07-19,20,92,directional,guide-or-tool,/borrowers/residential-mortgage-financing,landing-page-inventory|serp-residential-mortgages,"No fresh volume/CPC/KD available; blank means unknown, not zero."
KW-002,residential-mortgages,Residential Mortgages,mortgage on residential property,mortgage on residential property,residential-mortgages-awareness-education,Ontario homeowner or homebuyer,"purchase, first home, or equity access",awareness-education,Research,awareness-education,Ontario; Toronto/GTA where explicit,informational,retain,unavailable-not-zero,,Unavailable at query level,Unavailable,Unavailable,Unavailable,,,,,yes,representative-serp,2026-07-19,23,95,medium-for-intent-direction,guide-or-tool,/borrowers/residential-mortgage-financing,landing-page-inventory|serp-residential-mortgages|answer-socrates-2026-07-19,"No fresh volume/CPC/KD available; blank means unknown, not zero. Observed in broad Answer Socrates seed; discovery signal only."
KW-003,residential-mortgages,Residential Mortgages,how much mortgage can I afford in Ontario,how much mortgage can i afford in ontario,residential-mortgages-project-feasibility,Ontario homeowner or homebuyer,"purchase, first home, or equity access",project-feasibility,Research,project-feasibility,Ontario; Toronto/GTA where explicit,informational,retain,unavailable-not-zero,,Unavailable at query level,Unavailable,Unavailable,Unavailable,,,,,no,representative-serp,2026-07-19,38,80,directional,guide-or-tool,/borrowers/residential-mortgage-financing,landing-page-inventory|serp-residential-mortgages,"No fresh volume/CPC/KD available; blank means unknown, not zero."
KW-004,residential-mortgages,Residential Mortgages,Ontario mortgage down payment requirements,ontario mortgage down payment requirements,residential-mortgages-project-feasibility,Ontario homeowner or homebuyer,"purchase, first home, or equity access",project-feasibility,Research,project-feasibility,Ontario; Toronto/GTA where explicit,informational,retain,unavailable-not-zero,,Unavailable at query level,Unavailable,Unavailable,Unavailable,,,,,yes,representative-serp,2026-07-19,41,83,medium-for-intent-direction,guide-or-tool,/borrowers/residential-mortgage-financing,landing-page-inventory|serp-residential-mortgages|answer-socrates-2026-07-19,"No fresh volume/CPC/KD available; blank means unknown, not zero. Observed in broad Answer Socrates seed; discovery signal only."
KW-005,residential-mortgages,Residential Mortgages,mortgage broker vs bank Ontario,mortgage broker vs bank ontario,residential-mortgages-planning-comparison,Ontario homeowner or homebuyer,"purchase, first home, or equity access",planning-comparison,Research,planning-comparison,Ontario; Toronto/GTA where explicit,commercial-investigation,retain,unavailable-not-zero,,Unavailable at query level,Unavailable,Unavailable,Unavailable,,,,,no,representative-serp,2026-07-19,55,68,directional,comparison-guide,/borrowers/residential-mortgage-financing,landing-page-inventory|serp-residential-mortgages,"No fresh volume/CPC/KD available; blank means unknown, not zero."
KW-006,residential-mortgages,Residential Mortgages,fixed vs variable mortgage Ontario,fixed vs variable mortgage ontario,residential-mortgages-planning-comparison,Ontario homeowner or homebuyer,"purchase, first home, or equity access",planning-comparison,Research,planning-comparison,Ontario; Toronto/GTA where explicit,commercial-investigation,retain,unavailable-not-zero,,Unavailable at query level,Unavailable,Unavailable,Unavailable,,,,,no,representative-serp,2026-07-19,55,68,directional,comparison-guide,/borrowers/residential-mortgage-financing,landing-page-inventory|serp-residential-mortgages,"No fresh volume/CPC/KD available; blank means unknown, not zero."
KW-007,residential-mortgages,Residential Mortgages,residential mortgage broker Ontario,residential mortgage broker ontario,residential-mortgages-financing-qualification,Ontario homeowner or homebuyer,"purchase, first home, or equity access",financing-qualification,Buying-signal,financing-qualification,Ontario; Toronto/GTA where explicit,transactional,retain,unavailable-not-zero,,Unavailable at query level,Unavailable,Unavailable,Unavailable,,,,,yes,representative-serp,2026-07-19,81,51,medium-for-intent-direction,service-money-page,/borrowers/residential-mortgage-financing,landing-page-inventory|serp-residential-mortgages|answer-socrates-2026-07-19,"No fresh volume/CPC/KD available; blank means unknown, not zero. Observed in broad Answer Socrates seed; discovery signal only."
KW-008,residential-mortgages,Residential Mortgages,mortgage pre approval Ontario,mortgage pre approval ontario,residential-mortgages-financing-qualification,Ontario homeowner or homebuyer,"purchase, first home, or equity access",financing-qualification,Buying-signal,financing-qualification,Ontario; Toronto/GTA where explicit,transactional,retain,unavailable-not-zero,,Unavailable at query level,Unavailable,Unavailable,Unavailable,,,,,no,representative-serp,2026-07-19,78,48,directional,service-money-page,/borrowers/residential-mortgage-financing,landing-page-inventory|serp-residential-mortgages,"No fresh volume/CPC/KD available; blank means unknown, not zero."
KW-009,residential-mortgages,Residential Mortgages,mortgage declined Ontario options,mortgage declined ontario options,residential-mortgages-immediate-transaction-problem,Ontario homeowner or homebuyer,"purchase, first home, or equity access",immediate-transaction-problem,Buying-signal,immediate-transaction-problem,Ontario; Toronto/GTA where explicit,urgent-transactional,retain,unavailable-not-zero,,Unavailable at query level,Unavailable,Unavailable,Unavailable,,,,,no,representative-serp,2026-07-19,94,30,directional,urgent-problem-landing-page,/borrowers/residential-mortgage-financing,landing-page-inventory|serp-residential-mortgages,"No fresh volume/CPC/KD available; blank means unknown, not zero."
KW-010,residential-mortgages,Residential Mortgages,urgent mortgage approval Ontario,urgent mortgage approval ontario,residential-mortgages-immediate-transaction-problem,Ontario homeowner or homebuyer,"purchase, first home, or equity access",immediate-transaction-problem,Buying-signal,immediate-transaction-problem,Ontario; Toronto/GTA where explicit,urgent-transactional,retain,unavailable-not-zero,,Unavailable at query level,Unavailable,Unavailable,Unavailable,,,,,no,representative-serp,2026-07-19,94,30,directional,urgent-problem-landing-page,/borrowers/residential-mortgage-financing,landing-page-inventory|serp-residential-mortgages,"No fresh volume/CPC/KD available; blank means unknown, not zero."
