inventoryId,existingUrl,disposition,targetUrl,decisionStatus,linkedOpportunityIds,decisionBasis,sourceObservationRefs
site-home,https://www.fairlend.ca/,preserve,/,validated-core-surface,opportunity-homepage-pathways,Retain the homepage as the brand and qualified-pathway root; future changes remain proposal-only.,source-observation-live-pages-sitemap-2026-07-16 | source-user-positioning | source-observation-audit-page-4 | source-observation-audit-page-18
site-affordable-sustainable-rental-housing,https://www.fairlend.ca/affordable-sustainable-rental-housing,consolidate,/multiplex-financing-gta/mli-select,proposed-consolidation,opportunity-mli-select-planning-guide,Reuse only verified affordability and sustainability evidence inside the MLI planning resource; no distinct SERP-backed page boundary exists.,source-observation-live-pages-sitemap-2026-07-16 | source-openseo-tracer-metrics | source-openseo-mli-competitors | source-official-cmhc-mli-select
site-borrowers,https://www.fairlend.ca/borrowers,preserve,/borrowers,provisional-out-of-trial-scope,,Retain as a future borrower-routing hub until full-scale intent and navigation research determines its winning role.,source-observation-live-pages-sitemap-2026-07-16
site-institutional-mortgage,https://www.fairlend.ca/borrowers/institutional-mortgage,preserve,/borrowers/institutional-mortgage,provisional-out-of-trial-scope,opportunity-mli-select-planning-guide,Retain the URL pending broader institutional-intent research; route relevant five-plus support to the MLI resource without assuming full consolidation.,source-observation-live-pages-sitemap-2026-07-16 | source-openseo-tracer-metrics | source-openseo-mli-competitors | source-official-cmhc-mli-select
site-private-mortgage-financing,https://www.fairlend.ca/borrowers/private-mortgage-financing,preserve,/borrowers/private-mortgage-financing,provisional-out-of-trial-scope,,Retain as an alternative-financing feeder pending dedicated private-mortgage research; prevent it from absorbing project-specific construction intent.,source-observation-live-pages-sitemap-2026-07-16
site-construction-draw-financing,https://www.fairlend.ca/construction-draw-financing,replace,/construction-draw-financing,validated-replacement-proposal,opportunity-drawflow-builder-financing,Replace the naive page at the same URL with the evidence-gated builder-financing intent after separate content authorization.,source-observation-live-pages-sitemap-2026-07-16 | source-openseo-drawflow-research | source-public-serp-draw | source-user-positioning | source-official-ontario-construction-act
site-contact,https://www.fairlend.ca/contact,preserve,/contact,utility-preserve,,Retain as a utility/contact endpoint; conversion instrumentation and regulatory identity remain separate requirements.,source-observation-live-pages-sitemap-2026-07-16
site-disclosures,https://www.fairlend.ca/disclosures,preserve,/disclosures,legal-preserve,,Retain the legal disclosure surface and subject any revision to Principal Broker and legal review.,source-observation-live-pages-sitemap-2026-07-16
site-privacy-policy,https://www.fairlend.ca/en/brokerage/privacy-policy,preserve,/en/brokerage/privacy-policy,legal-preserve,,Retain the privacy surface; do not consolidate it into marketing pages.,source-observation-live-pages-sitemap-2026-07-16
site-garden-suite-financing-gta,https://www.fairlend.ca/garden-suite-financing-gta,replace,/garden-suite-financing-gta,validated-replacement-proposal,opportunity-garden-laneway-financing,Replace at the same URL with one combined garden-and-laneway financing intent after evidence and content approval.,source-observation-live-pages-sitemap-2026-07-16 | source-openseo-garden-research | source-public-serp-garden | source-official-cmhc-refinance | source-official-fcac-home-equity-options | source-official-fcac-heloc | source-user-positioning
site-garden-suite,https://www.fairlend.ca/garden-suite,consolidate,/garden-suite-financing-gta/feasibility,validated-consolidation-proposal,opportunity-garden-suite-feasibility,Consolidate reusable feasibility facts into the evidence-led resource and plan a redirect only in a separately authorized implementation proposal.,source-observation-live-pages-sitemap-2026-07-16 | source-openseo-tracer-metrics | source-openseo-garden-research | source-official-toronto-garden-suites
site-investing,https://www.fairlend.ca/investing,preserve,/investing,out-of-trial-scope,,Retain the investor surface unchanged; investor acquisition is outside the borrower/project-financing trial.,source-observation-live-pages-sitemap-2026-07-16
site-private-mortgage-lending,https://www.fairlend.ca/investing/private-mortgage-lending,preserve,/investing/private-mortgage-lending,out-of-trial-scope,,Retain the lender/investor surface unchanged and keep securities/investor messaging outside this research scope.,source-observation-live-pages-sitemap-2026-07-16
site-multiplex-financing-gta,https://www.fairlend.ca/multiplex-financing-gta,replace,/multiplex-financing-gta,validated-replacement-proposal,opportunity-five-plus-mli-financing,Replace at the same URL with a five-plus-first commercial boundary while keeping two-to-four-unit intent explicit and secondary.,source-observation-live-pages-sitemap-2026-07-16 | source-openseo-five-plus-research | source-public-serp-multiplex | source-official-cmhc-mli-select | source-user-positioning
site-partners,https://www.fairlend.ca/partners,replace,/partners,authority-led-replacement-proposal,opportunity-partner-referrals | opportunity-partner-readiness-resource,Replace the generic page with distinct referral roles and a readiness module; exact organic partner volume remains unmeasured.,source-observation-live-pages-sitemap-2026-07-16 | source-public-serp-partners | source-official-fsra-referrals | source-search-lendsimpl-realtors | source-user-positioning | source-official-fsra-referrals | source-official-toronto-multiplex-guide | source-reddit-gta-renovation-financing
site-posts,https://www.fairlend.ca/posts,preserve,/posts,provisional-editorial-index,,Retain as the editorial collection endpoint; future taxonomy and indexation decisions require the full content inventory.,source-observation-live-pages-sitemap-2026-07-16
site-terms,https://www.fairlend.ca/terms,preserve,/terms,legal-preserve,,Retain the terms surface and keep it outside SEO consolidation decisions.,source-observation-live-pages-sitemap-2026-07-16
