"id","name","segments","primary","path","status","priority","type","layers","problem","outcome","sections","cta","links","boundary","evidenceRefs","evidenceConfidence","marketMetricStatus","rankingValidationScope"
"residential-guide","Ontario residential mortgage guide","residential","how do mortgages work in Ontario","/resources/ontario-residential-mortgage-guide","proposed-create","P2","Evergreen guide","L1-L3","Understand affordability, qualification, product structure, and the broker-vs-bank decision.","Choose the right residential path before submitting an application.","Mortgage fundamentals; affordability and stress test; down payment; product types; broker vs bank; documents; next steps","Build my mortgage plan","/borrowers/residential-mortgage-financing; /resources/a-vs-b-vs-private-mortgage","Broad residential education only; A/B/private pages own lender-tier qualification and rescue intent.","SERP-RESIDENTIAL","directional — current SERP pattern, no first-party cluster signal","unavailable-not-zero","representative cluster-primary SERP; exact long-tail rank not claimed"
"residential-service","Residential mortgage financing","residential","residential mortgage broker Ontario","/borrowers/residential-mortgage-financing","proposed-create","P2","Service page","L4-L5","Secure an ordinary residential mortgage with a documented plan and closing timeline.","Submit a financeable application and close.","Who it is for; purchase and renewal scenarios; qualification; document checklist; process; FAQs","Get a residential mortgage assessment","/resources/ontario-residential-mortgage-guide; /borrowers/institutional-mortgage","Owns generic residential commercial intent; does not target A, B, private, HELOC, bridge, or rescue head terms.","SERP-RESIDENTIAL","directional — current SERP pattern, no first-party cluster signal","unavailable-not-zero","representative cluster-primary SERP; exact long-tail rank not claimed"
"a-guide","A-lender requirements guide","prime-a","A lender mortgage requirements Ontario","/resources/a-lender-mortgage-requirements-ontario","proposed-create","P1","Qualification guide","L1-L2","Know whether credit, income, down payment, and debt service meet prime policy.","Identify gaps before a prime application.","What A means; credit; income; debt service; stress test; property; documents; graduation plan","Check prime eligibility","/borrowers/institutional-mortgage; /resources/a-vs-b-vs-private-mortgage","Prime-policy education; residential guide remains broad and B/private pages own non-prime routes.","SERP-PRIME-A|SITE-01","directional — current SERP pattern, no first-party cluster signal","unavailable-not-zero","representative cluster-primary SERP; exact long-tail rank not claimed"
"a-service","Institutional mortgage service","prime-a","institutional mortgage lenders Ontario","/borrowers/institutional-mortgage","existing-update","P1","Service page","L4-L5","Place a bank-grade or monoline mortgage and plan a return from alternative financing.","Close with the strongest institutional option the borrower can support.","Prime fit; institutional lender types; qualification; switch/graduation; documents; process; FAQs","Review institutional options","/resources/a-lender-mortgage-requirements-ontario; /resources/a-vs-b-vs-private-mortgage","Prime institutional owner. Alternative B and private commercial intent must not be blended into the title/H1.","SERP-PRIME-A|SITE-01","low-medium — existing owner, limited query evidence","unavailable-not-zero","representative cluster-primary SERP; exact long-tail rank not claimed"
"b-guide","B-lender mortgage guide","alternative-b","B lender mortgage requirements Ontario","/resources/b-lender-mortgage-ontario","proposed-create","P1","Qualification guide","L1-L2","Understand when an alternative institutional lender fits and what it costs.","Determine whether B financing is feasible before moving private.","What B means; borrower profiles; income; credit; equity; rates and fees; terms; exit strategy","Check alternative eligibility","/borrowers/alternative-mortgage; /resources/a-vs-b-vs-private-mortgage","Institutional alternative only; no equity-first private promises or generic residential head terms.","SERP-ALTERNATIVE-B","directional — current SERP pattern, no first-party cluster signal","unavailable-not-zero","representative cluster-primary SERP; exact long-tail rank not claimed"
"b-service","Alternative mortgage service","alternative-b","B lender mortgage broker Ontario","/borrowers/alternative-mortgage","proposed-create","P1","Service page","L4-L5","Recover a financeable institutional path after bank policy rejection.","Place a B mortgage with a documented route back to prime.","Fit; common bank-policy mismatches; lender options; pricing; documents; exit plan; timeline","Get an alternative mortgage assessment","/resources/b-lender-mortgage-ontario; /resources/a-vs-b-vs-private-mortgage; /borrowers/private-mortgage-financing","Owns B-lender commercial intent. Bank-declined private/rescue terms route to private service.","SERP-ALTERNATIVE-B","directional — current SERP pattern, no first-party cluster signal","unavailable-not-zero","representative cluster-primary SERP; exact long-tail rank not claimed"
"private-guide","Private mortgage costs and fit guide","private","private mortgage costs Ontario","/resources/private-mortgage-costs-ontario","hold-until-service-strengthened","Hold","Evergreen guide","L1-L2","Understand equity-led underwriting, appraisals, fees, risks, and exit requirements.","Decide whether private financing is proportionate and viable.","How it works; first vs second; equity and appraisal; rates and fees; term; risks; exit; alternatives","Review a private mortgage scenario","/borrowers/private-mortgage-financing; /resources/a-vs-b-vs-private-mortgage","Publish only after the existing service owner is strengthened; never compete for “private mortgage lenders Ontario.”","SERP-PRIVATE|FP-GSC-02","directional — current SERP pattern, no first-party cluster signal","unavailable-not-zero","representative cluster-primary SERP; exact long-tail rank not claimed"
"private-service","Private mortgage financing","private|rescue","private mortgage lenders Ontario","/borrowers/private-mortgage-financing","existing-update","P0","Service / urgent assessment page","L4-L5","Solve an equity-supported financing need outside institutional policy or against a deadline.","Reach a defensible approval and exit plan quickly.","Scenarios; equity and appraisal; first/second position; rates and fees; exit; bank decline; arrears triage; timeline; risks","Request an urgent private mortgage assessment","/resources/private-mortgage-costs-ontario; /resources/mortgage-declined-ontario; /resources/a-vs-b-vs-private-mortgage","Single commercial owner for private and urgent bank-declined intent; rescue guide educates and triages, never duplicates the service pitch.","SERP-PRIVATE|FP-GSC-02|SERP-RESCUE","medium — direct page signal, small sample","unavailable-not-zero","representative cluster-primary SERP; exact long-tail rank not claimed"
"renovation-guide","Renovation financing options guide","renovation","home renovation financing options Canada","/resources/renovation-financing-ontario","proposed-create","P1","Decision guide","L1-L2","Match an existing-home improvement scope to an appropriate funding structure.","Choose HELOC, refinance, purchase-plus-improvements, or other financing.","Project scope; options; budgets and quotes; appraisal; draw mechanics; cost overruns; construction boundary","Choose a renovation financing route","/borrowers/renovation-financing; /resources/heloc-vs-refinance-vs-renovation","Existing dwelling improvements only; ground-up builds and major construction draws belong to construction financing.","SERP-RENOVATION","directional — current SERP pattern, no first-party cluster signal","unavailable-not-zero","representative cluster-primary SERP; exact long-tail rank not claimed"
"renovation-service","Renovation financing service","renovation","renovation financing lender Ontario","/borrowers/renovation-financing","proposed-create","P1","Service page","L4-L5","Finance a defined renovation, acquisition-plus-improvements, or cost overrun.","Fund the work with clear conditions and release mechanics.","Eligible projects; financing structures; qualification; quote/budget pack; appraisal; draws; timeline; FAQs","Finance my renovation","/resources/renovation-financing-ontario; /resources/heloc-vs-refinance-vs-renovation; /borrowers/heloc","Commercial renovation intent; no ground-up construction or general revolving-equity head terms.","SERP-RENOVATION","directional — current SERP pattern, no first-party cluster signal","unavailable-not-zero","representative cluster-primary SERP; exact long-tail rank not claimed"
