"id","question","segmentId","segmentName","primaryFunnelLayer","layerName","intent","clusterId","targetPath","answerFormat","schemaCandidate","source","observedAt","confidence"
"Q-001","What is an A-lender mortgage, and how does it work in Ontario?","prime-a","A / prime institutional mortgages","L1","awareness-education","educational question","a-guide","/resources/a-lender-mortgage-requirements-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-002","Who is an A-lender mortgage designed for?","prime-a","A / prime institutional mortgages","L1","awareness-education","educational question","a-guide","/resources/a-lender-mortgage-requirements-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-003","What are the main risks and benefits of an A-lender mortgage?","prime-a","A / prime institutional mortgages","L1","awareness-education","educational question","a-guide","/resources/a-lender-mortgage-requirements-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-004","Can I qualify for an A-lender mortgage with my income, credit, and equity?","prime-a","A / prime institutional mortgages","L2","problem-project-feasibility","educational question","a-guide","/resources/a-lender-mortgage-requirements-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-005","How much could I borrow through an A-lender mortgage?","prime-a","A / prime institutional mortgages","L2","problem-project-feasibility","educational question","a-guide","/resources/a-lender-mortgage-requirements-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-006","What property, appraisal, or project conditions affect an A-lender mortgage?","prime-a","A / prime institutional mortgages","L2","problem-project-feasibility","educational question","a-guide","/resources/a-lender-mortgage-requirements-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-007","How does an A-lender mortgage compare with the next-best financing option?","prime-a","A / prime institutional mortgages","L3","evaluation-planning-comparison","educational question","lender-comparison","/resources/a-vs-b-vs-private-mortgage","comparison table","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-008","What is the total cost of an A-lender mortgage, including fees and penalties?","prime-a","A / prime institutional mortgages","L3","evaluation-planning-comparison","educational question","lender-comparison","/resources/a-vs-b-vs-private-mortgage","comparison table","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-009","Which lender or structure is the better fit for my scenario?","prime-a","A / prime institutional mortgages","L3","evaluation-planning-comparison","educational question","lender-comparison","/resources/a-vs-b-vs-private-mortgage","comparison table","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-010","What documents do I need to apply for an A-lender mortgage?","prime-a","A / prime institutional mortgages","L4","qualification-commercial-investigation","educational question","a-service","/borrowers/institutional-mortgage","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-011","How long does approval and funding take for an A-lender mortgage?","prime-a","A / prime institutional mortgages","L4","qualification-commercial-investigation","educational question","a-service","/borrowers/institutional-mortgage","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
