"id","sourceType","evidenceClass","segment","queryOrPage","url","observation","metric","dateRange","geography","account","confidence","use"
"FP-GSC-01","Google Search Console","fresh numeric first-party","all","sc-domain:fairlend.ca","https://search.google.com/search-console","Property total: 2 clicks, 67 impressions, 3% CTR, average position 31.2.","clicks=2; impressions=67; ctr=3%; avg_position=31.2","fresh UI view; Search Analytics lag applies","Google property","c.beleznay@humanfeedback.com","high for observed UI; low sample","Baseline only; not market demand."
"FP-GSC-02","Google Search Console","fresh numeric first-party","private|rescue","/borrowers/private-mortgage-financing","https://www.fairlend.ca/borrowers/private-mortgage-financing","Existing borrower page has 14 impressions, 0 clicks, and average position 10.07.","clicks=0; impressions=14; ctr=0%; avg_position=10.07","fresh UI view; Search Analytics lag applies","Google property","c.beleznay@humanfeedback.com","high for observed UI; low sample","P0 existing-page update; do not replace with a new service URL."
"FP-GSC-03","Google Search Console","fresh numeric first-party exact query","private","fair market value appraisal for private lending","https://search.google.com/search-console","Exact visible query: 2 impressions, 0 clicks, average position 96.5.","clicks=0; impressions=2; ctr=0%; avg_position=96.5","fresh UI view; Search Analytics lag applies","Google property","c.beleznay@humanfeedback.com","high for observed UI; tiny sample","Supports appraisal/equity content; not volume validation."
"FP-GA4-01","Google Analytics 4","fresh numeric first-party","all","GA4 property 502729166","https://analytics.google.com/","18 sessions, 14 engaged; organic: 3 sessions, 2 engaged, 66.67% engagement, 77s average engagement, 23 events, 0 key events.","sessions=18; engaged=14; organic_sessions=3; organic_engaged=2; organic_rate=66.67%; organic_avg_engagement=77s; organic_events=23; key_events=0","2026-06-22 to 2026-07-19","all observed traffic","c.beleznay@humanfeedback.com","high for observed UI; low sample","Measurement baseline; conversions cannot yet validate keyword quality."
"KP-UNAVAILABLE","Keyword metrics provider","unavailable","all","All retained keywords","","No OpenSEO/DataForSEO/Ads Keyword Planner metrics connector or credential was callable. Volume, CPC, and difficulty remain blank—not zero.","monthly_searches=unavailable; cpc=unavailable; difficulty=unavailable","2026-07-20","Ontario/Toronto intended","","high","Prevents fabricated demand numbers; refresh when a metrics source is connected."
"AS-01","Answer Socrates / question discovery","third-party discovery","all","Mortgage borrower question patterns","https://answersocrates.com/","Question patterns informed who/what/how/can/versus/urgent expansions. The tool does not provide authoritative market volume in this workflow.","qualitative only","2026-07-20","Canada/Ontario semantic modifiers","","directional","Question-bank expansion, not numeric validation."
"SITE-01","FairLend site inventory","first-party structural","prime-a","/borrowers/institutional-mortgage","https://www.fairlend.ca/borrowers/institutional-mortgage","Existing institutional mortgage service route is the canonical prime owner.","existing route","2026-07-20","Ontario","","high","Update rather than create a competing A-lender service page."
"SITE-02","FairLend site inventory","first-party structural","private|rescue","/borrowers/private-mortgage-financing","https://www.fairlend.ca/borrowers/private-mortgage-financing","Existing private mortgage route is the canonical commercial and urgent-assessment owner.","existing route","2026-07-20","Ontario","","high","Strengthen first; rescue guide remains informational."
"SERP-PRIME-A","Current web SERP","current ranking-page / SERP pattern","prime-a","Nesto A vs B lender explainer","https://www.nesto.ca/mortgage-basics/a-lender-vs-b-lender-mortgages-in-canada/","Current results separate strict lower-cost A qualification from flexible higher-cost B qualification.","ranking pattern; no market volume","2026-07-20","Canada/Ontario localized search","","medium","Validate page type, entities, sections, and canonical boundary."
"SERP-ALTERNATIVE-B","Current web SERP","current ranking-page / SERP pattern","alternative-b","Rates.ca B-lender guide","https://rates.ca/guides/mortgage/b-lenders","B-lender SERPs reward borrower-profile, qualification, rates/fees, and A/private comparison coverage.","ranking pattern; no market volume","2026-07-20","Canada/Ontario localized search","","medium","Validate page type, entities, sections, and canonical boundary."
"SERP-PRIVATE","Current web SERP","current ranking-page / SERP pattern","private","FSRA private mortgage consumer guidance","https://www.fsrao.ca/privatemortgage","Authoritative result emphasizes risks, fees, short terms, and exit planning.","ranking pattern; no market volume","2026-07-20","Canada/Ontario localized search","","medium","Validate page type, entities, sections, and canonical boundary."
"SERP-RESIDENTIAL","Current web SERP","current ranking-page / SERP pattern","residential","FCAC mortgage pre-approval and qualification","https://www.canada.ca/en/financial-consumer-agency/services/mortgages/preapproval-qualify-mortgage.html","Residential intent expects affordability, pre-approval, down payment, documents, and stress-test education.","ranking pattern; no market volume","2026-07-20","Canada/Ontario localized search","","medium","Validate page type, entities, sections, and canonical boundary."
