id,serviceId,serviceName,question,funnelStage,persona,sourceType,sourceRef,recommendedFormat
Q-001,residential-mortgages,Residential Mortgages,"What is residential mortgage financing, and when is it useful in Ontario?",awareness-education,Ontario homeowner or homebuyer,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-002,residential-mortgages,Residential Mortgages,"How do lenders assess eligibility, equity, cost, and risk for residential mortgage financing?",project-feasibility,Ontario homeowner or homebuyer,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-003,residential-mortgages,Residential Mortgages,How does residential mortgage financing compare with the main alternatives?,planning-comparison,Ontario homeowner or homebuyer,template-expanded from SERP comparison intent,serp-residential-mortgages,comparison table
Q-004,residential-mortgages,Residential Mortgages,"What can I do when residential mortgage financing is declined, delayed, or facing a deadline?",immediate-transaction-problem,Ontario homeowner or homebuyer,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-005,private-mortgages,Private Mortgages,"What is private mortgage financing, and when is it useful in Ontario?",awareness-education,Equity-rich borrower outside bank policy,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-006,private-mortgages,Private Mortgages,"How do lenders assess eligibility, equity, cost, and risk for private mortgage financing?",project-feasibility,Equity-rich borrower outside bank policy,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-007,private-mortgages,Private Mortgages,How does private mortgage financing compare with the main alternatives?,planning-comparison,Equity-rich borrower outside bank policy,template-expanded from SERP comparison intent,serp-private-mortgages,comparison table
Q-008,private-mortgages,Private Mortgages,"What can I do when private mortgage financing is declined, delayed, or facing a deadline?",immediate-transaction-problem,Equity-rich borrower outside bank policy,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-009,institutional-mortgages,Institutional Mortgages,"What is institutional mortgage financing, and when is it useful in Ontario?",awareness-education,Qualifying borrower seeking bank or monoline pricing,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-010,institutional-mortgages,Institutional Mortgages,"How do lenders assess eligibility, equity, cost, and risk for institutional mortgage financing?",project-feasibility,Qualifying borrower seeking bank or monoline pricing,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-011,institutional-mortgages,Institutional Mortgages,How does institutional mortgage financing compare with the main alternatives?,planning-comparison,Qualifying borrower seeking bank or monoline pricing,template-expanded from SERP comparison intent,serp-institutional-mortgages,comparison table
Q-012,institutional-mortgages,Institutional Mortgages,"What can I do when institutional mortgage financing is declined, delayed, or facing a deadline?",immediate-transaction-problem,Qualifying borrower seeking bank or monoline pricing,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-013,heloc,Home Equity Line of Credit (HELOC),"What is HELOC financing, and when is it useful in Ontario?",awareness-education,Ontario homeowner with usable equity,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-014,heloc,Home Equity Line of Credit (HELOC),"How do lenders assess eligibility, equity, cost, and risk for HELOC financing?",project-feasibility,Ontario homeowner with usable equity,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-015,heloc,Home Equity Line of Credit (HELOC),How does HELOC financing compare with the main alternatives?,planning-comparison,Ontario homeowner with usable equity,template-expanded from SERP comparison intent,serp-heloc,comparison table
Q-016,heloc,Home Equity Line of Credit (HELOC),"What can I do when HELOC financing is declined, delayed, or facing a deadline?",immediate-transaction-problem,Ontario homeowner with usable equity,template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-017,bridge-loans,Bridge Loans,"What is bridge loan financing, and when is it useful in Ontario?",awareness-education,"Buyer, seller, or investor bridging two transactions",template-expanded from validated service entity,service-inventory,plain-language explainer
Q-018,bridge-loans,Bridge Loans,"How do lenders assess eligibility, equity, cost, and risk for bridge loan financing?",project-feasibility,"Buyer, seller, or investor bridging two transactions",template-expanded from financing triggers,service-inventory,checklist or calculator
Q-019,bridge-loans,Bridge Loans,How does bridge loan financing compare with the main alternatives?,planning-comparison,"Buyer, seller, or investor bridging two transactions",template-expanded from SERP comparison intent,serp-bridge-loans,comparison table
Q-020,bridge-loans,Bridge Loans,"What can I do when bridge loan financing is declined, delayed, or facing a deadline?",immediate-transaction-problem,"Buyer, seller, or investor bridging two transactions",template-expanded from urgent financing trigger,service-inventory,decision tree + CTA
Q-021,residential-refinancing,Residential Refinancing,"What is residential mortgage refinancing, and when is it useful in Ontario?",awareness-education,Homeowner changing debt structure or accessing equity,template-expanded from validated service entity,service-inventory,plain-language explainer
Q-022,residential-refinancing,Residential Refinancing,"How do lenders assess eligibility, equity, cost, and risk for residential mortgage refinancing?",project-feasibility,Homeowner changing debt structure or accessing equity,template-expanded from financing triggers,service-inventory,checklist or calculator
Q-023,residential-refinancing,Residential Refinancing,How does residential mortgage refinancing compare with the main alternatives?,planning-comparison,Homeowner changing debt structure or accessing equity,template-expanded from SERP comparison intent,serp-residential-refinancing,comparison table
