"gate","status","detail"
"source-artifact-inventory","PASS","38 source artifacts inventoried across three workstream directories."
"embedded-source-coverage","PASS","37 canonical Markdown/CSV/JSON/text artifacts are identified by path and SHA-256 in the master."
"service-keyword-coverage","PASS","All 160 landing-service funnel keyword rows included."
"landing-cluster-coverage","PASS","All 32 landing-service cluster rows included."
"borrower-keyword-coverage","PASS","All 160 borrower keyword IDs and queries included."
"per-keyword-strategy-coverage","PASS","All 160 keyword-level outrank plans included."
"canonical-outline-coverage","PASS","All 18 canonical page owners have complete production outlines."
"serp-reference-coverage","PASS","All 800 captured ranking URLs included."
"competitor-domain-coverage","PASS","All 221 observed competitor domains included."
"question-coverage","PASS","All 120 borrower questions included."
"canonical-owner-integrity","PASS","Every borrower keyword retains the canonical owner defined by its cluster."
"market-metric-honesty","PASS","Unavailable search volume/CPC/difficulty remains explicitly unavailable-not-zero."
"html-derivative-provenance","PASS","HTML presentation derivatives are inventoried without duplicating source code as research prose."
