id,keyword,clusterId,clusterName,priority,funnelStage,providerIntent,searchVolume,keywordDifficulty,cpc,competition,metricsStatus,opportunityScore,scoreRationale,serpValidation,proposedPageType,sourceSeeds,sourceFiles
keyword-toronto-building-permit,toronto building permit,municipal-permits-zoning,"Toronto/GTA permits, zoning, and development-application navigation",P1,awareness-research,informational,2400,2,8.82,0.1,numeric-discovery-metric,100,demand:25; attainability:25; local:15; asset-fit:15; funnel:12; strategic:13,candidate-needs-live-serp,Municipal source navigator + step-by-step readiness checklist,multiplex development feasibility Toronto,01-multiplex-feasibility.json | 07-exact-longtail-metrics.json
keyword-toronto-zoning,toronto zoning,municipal-permits-zoning,"Toronto/GTA permits, zoning, and development-application navigation",P1,awareness-research,informational,1600,0,19.14,0.01,numeric-discovery-metric,100,demand:25; attainability:25; local:15; asset-fit:15; funnel:12; strategic:13,candidate-needs-live-serp,Municipal source navigator + step-by-step readiness checklist,multiplex development feasibility Toronto,01-multiplex-feasibility.json | 07-exact-longtail-metrics.json
keyword-toronto-zoning-bylaw,toronto zoning bylaw,municipal-permits-zoning,"Toronto/GTA permits, zoning, and development-application navigation",P1,awareness-research,informational,1600,0,0.42,0,numeric-discovery-metric,100,demand:25; attainability:25; local:15; asset-fit:15; funnel:12; strategic:13,candidate-needs-live-serp,Municipal source navigator + step-by-step readiness checklist,multiplex development feasibility Toronto,01-multiplex-feasibility.json | 07-exact-longtail-metrics.json
keyword-development-applications-toronto,development applications toronto,municipal-permits-zoning,"Toronto/GTA permits, zoning, and development-application navigation",P1,awareness-research,informational,1900,0,8.18,0.01,numeric-discovery-metric,99,demand:25; attainability:25; local:15; asset-fit:9; funnel:12; strategic:13,candidate-needs-live-serp,Municipal source navigator + step-by-step readiness checklist,multiplex development feasibility Toronto,01-multiplex-feasibility.json | 07-exact-longtail-metrics.json
keyword-garden-suites-toronto,garden suites toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,feasibility-consideration,commercial,590,5,1.74,0.22,numeric-discovery-metric,97,demand:23; attainability:25; local:15; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,garden suite permit Toronto,04-garden-suite-permits.json
keyword-toronto-garden-suites,toronto garden suites,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,feasibility-consideration,commercial,210,5,3.35,0.22,numeric-discovery-metric,94,demand:20; attainability:25; local:15; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,garden suite permit Toronto,04-garden-suite-permits.json
keyword-construction-loans-canada,construction loans canada,construction-financing-readiness,Construction-financing requirements and process,P2,feasibility-consideration,commercial,140,0,8.6,0.56,numeric-discovery-metric,91,demand:20; attainability:25; local:15; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,construction financing requirements Ontario,05-construction-financing-requirements.json
keyword-construction-loans-in-canada,construction loans in canada,construction-financing-readiness,Construction-financing requirements and process,P2,feasibility-consideration,commercial,140,0,8.6,0.56,numeric-discovery-metric,91,demand:20; attainability:25; local:15; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,construction financing requirements Ontario,05-construction-financing-requirements.json
keyword-garden-suite-mississauga,garden suite mississauga,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,feasibility-consideration,navigational,90,0,2.15,0.24,numeric-discovery-metric,90,demand:16; attainability:25; local:15; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,garden suite permit Toronto,04-garden-suite-permits.json | 07-exact-longtail-metrics.json
keyword-garden-suites-ontario,garden suites ontario,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,feasibility-consideration,commercial,50,0,1.41,0.23,numeric-discovery-metric,90,demand:16; attainability:25; local:15; asset-fit:9; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,garden suite permit Toronto,04-garden-suite-permits.json | 07-exact-longtail-metrics.json
keyword-construction-loan-toronto,construction loan toronto,construction-financing-readiness,Construction-financing requirements and process,P2,feasibility-consideration,commercial,90,0,3.87,0.71,numeric-discovery-metric,87,demand:16; attainability:25; local:15; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,construction financing requirements Ontario,05-construction-financing-requirements.json
keyword-construction-loans-toronto,construction loans toronto,construction-financing-readiness,Construction-financing requirements and process,P2,feasibility-consideration,commercial,90,0,3.87,0.71,numeric-discovery-metric,87,demand:16; attainability:25; local:15; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,construction financing requirements Ontario,05-construction-financing-requirements.json
keyword-canadian-construction-loans,canadian construction loans,construction-financing-readiness,Construction-financing requirements and process,P2,feasibility-consideration,commercial,140,2,8.6,0.56,numeric-discovery-metric,83,demand:20; attainability:25; local:7; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,construction financing requirements Ontario,05-construction-financing-requirements.json
keyword-commercial-construction-loan,commercial construction loan,construction-financing-readiness,Construction-financing requirements and process,P2,feasibility-consideration,commercial,110,0,9.92,0.53,numeric-discovery-metric,83,demand:20; attainability:25; local:7; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,construction financing requirements Ontario,05-construction-financing-requirements.json
keyword-construction-financing-canada,construction financing canada,construction-financing-readiness,Construction-financing requirements and process,P2,feasibility-consideration,commercial,140,17,8.6,0.56,numeric-discovery-metric,80,demand:20; attainability:14; local:15; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,construction financing requirements Ontario,05-construction-financing-requirements.json
keyword-new-construction-financing,new construction financing,construction-financing-readiness,Construction-financing requirements and process,P2,feasibility-consideration,commercial,50,8,8.1,0.18,numeric-discovery-metric,74,demand:16; attainability:20; local:7; asset-fit:9; funnel:12; strategic:10,candidate-needs-live-serp,Requirements guide + budget/document checklist + financing process map,construction financing requirements Ontario,05-construction-financing-requirements.json
keyword-garden-suite-cost-toronto,garden suite cost toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,commercial,20,,,0.29,numeric-discovery-metric,73,demand:12; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,garden suite cost Toronto,03-garden-suite-cost.json | 07-exact-longtail-metrics.json
keyword-toronto-garden-suite-bylaw,toronto garden suite bylaw,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,informational,20,,,0.02,numeric-discovery-metric,73,demand:12; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,garden suite permit Toronto,04-garden-suite-permits.json | 07-exact-longtail-metrics.json
keyword-cost-of-garden-suite-toronto,cost of garden suite toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,commercial,10,,0.57,0.38,numeric-discovery-metric,69,demand:8; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,garden suite cost Toronto,03-garden-suite-cost.json | 07-exact-longtail-metrics.json
keyword-can-i-build-a-garden-suite-in-toronto,can i build a garden suite in toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,,,,,,exact-request-returned-no-row,66,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-garden-suite-calculator-toronto,garden suite calculator toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,,,,,,exact-request-returned-no-row,66,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-garden-suite-permit-requirements-toronto,garden suite permit requirements toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,,,,,,exact-request-returned-no-row,66,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-garden-suite-permit-toronto,garden suite permit toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,,,,,,exact-request-returned-no-row,66,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-garden-suite-zoning-toronto,garden suite zoning toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,,,,,,exact-request-returned-no-row,66,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-how-much-does-a-garden-suite-cost-in-toronto,how much does a garden suite cost in toronto,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,,,,,,exact-request-returned-no-row,66,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-multiplex-building-permit-toronto,multiplex building permit toronto,municipal-permits-zoning,"Toronto/GTA permits, zoning, and development-application navigation",P1,awareness-research,,,,,,exact-request-returned-no-row,66,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,candidate-needs-live-serp,Municipal source navigator + step-by-step readiness checklist,,
keyword-multiplex-zoning-toronto,multiplex zoning toronto,municipal-permits-zoning,"Toronto/GTA permits, zoning, and development-application navigation",P1,awareness-research,,,,,,exact-request-returned-no-row,66,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,candidate-needs-live-serp,Municipal source navigator + step-by-step readiness checklist,,
keyword-toronto-garden-suite-permit-cost,toronto garden suite permit cost,garden-suite-cost-feasibility,"Garden-suite cost, feasibility, permits, rent, and ROI",P1,awareness-research,,,,,,exact-request-returned-no-row,66,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Local feasibility guide + cost model + permit/source navigator,,
keyword-toronto-multiplex-zoning,toronto multiplex zoning,municipal-permits-zoning,"Toronto/GTA permits, zoning, and development-application navigation",P1,awareness-research,,,,,0,exact-row-returned-volume-unavailable,66,demand:5; attainability:6; local:15; asset-fit:15; funnel:12; strategic:13,candidate-needs-live-serp,Municipal source navigator + step-by-step readiness checklist,,07-exact-longtail-metrics.json
keyword-cmhc-mli-select-requirements,cmhc mli select requirements,mli-select-requirements,"MLI Select requirements, scoring, and takeout readiness",P1,awareness-research,commercial,30,,,0,numeric-discovery-metric,65,demand:12; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Primary-source-backed program guide + eligibility checklist + scenario calculator,MLI Select requirements,02-mli-requirements.json | 07-exact-longtail-metrics.json
keyword-mli-select-requirements,mli select requirements,mli-select-requirements,"MLI Select requirements, scoring, and takeout readiness",P1,awareness-research,informational,20,,,0.02,numeric-discovery-metric,65,demand:12; attainability:6; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Primary-source-backed program guide + eligibility checklist + scenario calculator,MLI Select requirements,02-mli-requirements.json | 07-exact-longtail-metrics.json
keyword-construction-loan-draw-schedule,construction loan draw schedule,draw-schedule-cash-flow,"Construction draw schedules, cash-flow gaps, and DrawFlow",P1,awareness-research,informational,10,40,,0.02,numeric-discovery-metric,63,demand:8; attainability:8; local:7; asset-fit:15; funnel:12; strategic:13,cluster-live-serp-observed,Explainer + worked schedule + downloadable template + comparison + video,construction loan draw schedule,06-construction-draw-schedule.json | 07-exact-longtail-metrics.json
