serviceId,serviceName,queryPattern,dominantResultType,representativeUrl,observedAt,implication
residential-mortgages,Residential Mortgages,residential mortgage broker Ontario,Broker service pages plus regulator guidance,https://www.fsrao.ca/consumers/mortgage-brokering/mortgage-application-process,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.
private-mortgages,Private Mortgages,private mortgage lenders Ontario,Dedicated lender/broker money pages,https://bestrefinance.ca/,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.
institutional-mortgages,Institutional Mortgages,institutional mortgage broker Ontario,Broad broker service pages,https://www.money-solutions.ca/about/,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.
heloc,Home Equity Line of Credit (HELOC),HELOC broker Ontario,Dedicated HELOC product and comparison pages,https://lendsimpl.ca/heloc,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.
bridge-loans,Bridge Loans,bridge financing real estate Canada,Lender product sheets and broker guides,https://www.cmls.ca/brokers/download-resource?id=171,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.
residential-refinancing,Residential Refinancing,mortgage refinance broker Ontario,"Refinance calculators, guides, and broker pages",https://bestrefinance.ca/,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.
renovation-financing,Renovation Financing,renovation financing lender Ontario,Specialist loan products and home-equity comparisons,https://renfi.ca/,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.
construction-financing,Construction Financing / DrawFlow,construction financing Ontario,Specialist lender pages plus draw-process guides,https://www.tordon.com/construction-mortgage,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.
multiplex-financing,Multi-plex Financing,multiplex financing Toronto,Integrated design-build-finance pages and feasibility guides,https://www.vanplex.ca/toronto-multiplex/financing/,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.
garden-laneway-suites,Garden & Laneway Suite Financing,garden suite financing Toronto,"Municipal guidance, builder guides, and lender product sheets",https://www.equitablebank.ca/docs/default-source/alternative-mortgages-library/feature-sheets/laneway-house-mortgage.pdf?sfvrsn=ec76a727_3,2026-07-19,Use a hybrid service/guide page: official municipal and lender resources occupy the result set.
mli-select,MLI Select Insured Housing,MLI Select financing,CMHC program documentation and approved-lender advisory pages,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/multi-unit-insurance/mliselect,2026-07-19,Anchor claims to CMHC primary documentation; service content must add qualification workflow and deal-level expertise.
rental-acquisition,Existing Rental Property Acquisition Financing,rental property financing Ontario,Investment-property mortgage pages and commercial broker pages,https://mortgageontario.ca/investment-properties,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.
rental-refinancing,Existing Rental Property Refinancing,refinance rental property Ontario,Investment-property service pages and borrower discussions,https://greenhousemortgage.ca/services/investment-properties,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.
private-mortgage-investing,Private Mortgage Investing,private mortgage investing Ontario,"Direct-investment landing pages, MIC/fund pages, and risk guides",https://www.centumcf.com/private-lender-mortgages,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.
partner-program,Partner / Referral Program,mortgage broker referral program Ontario,Referral-program landing pages with audience and compensation detail,https://circle-connect.ca/,2026-07-19,"Make eligible partner types, process, disclosure, and handoff expectations explicit."
builder-consulting,Builder Consulting,builder financing consultant Toronto,Integrated development advisory and builder-finance pages,https://grewaladvisory.ca/builder-financing,2026-07-19,Commercial terms favor dedicated service pages; support them with feasibility and comparison content rather than a generic services hub.

