observationId,sourceSurface,query,normalizedQuery,disposition,mappedServiceId,funnelStage,exclusionReason,observedAt,seed,country,language
AS-001,Alphabet expansion,Real Estate Finance Jobs Ontario,real estate finance jobs ontario,exclude,,,Employment intent,2026-07-19,Ontario real estate financing,Canada,English
AS-002,Alphabet expansion,Ontario Real Estate Interest Rates,ontario real estate interest rates,retain-supporting,residential-mortgages,awareness-education,,2026-07-19,Ontario real estate financing,Canada,English
AS-003,Alphabet expansion,Ontario Real Estate Financing Condition,ontario real estate financing condition,exclude,,,"Malformed, vague, or insufficiently aligned phrase",2026-07-19,Ontario real estate financing,Canada,English
AS-004,Alphabet expansion,Ontario Real Estate Fund,ontario real estate fund,exclude,,,Organization/entity intent,2026-07-19,Ontario real estate financing,Canada,English
AS-005,Alphabet expansion,Ontario Real Estate Finders Fee,ontario real estate finders fee,exclude,,,"Legal, tax, or compliance intent outside the service scope",2026-07-19,Ontario real estate financing,Canada,English
AS-006,Alphabet expansion,Ontario Real Estate Jobs,ontario real estate jobs,exclude,,,Employment intent,2026-07-19,Ontario real estate financing,Canada,English
AS-007,Alphabet expansion,Ontario Real Estate Offer,ontario real estate offer,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-008,Alphabet expansion,Real Estate Financing Toronto,real estate financing toronto,retain-supporting,residential-mortgages,financing-qualification,Broad modifier; use only as supporting copy.,2026-07-19,Ontario real estate financing,Canada,English
AS-009,Alphabet expansion,Real Estate Financing Canada,real estate financing canada,retain-supporting,residential-mortgages,awareness-education,Broad modifier; use only as supporting copy.,2026-07-19,Ontario real estate financing,Canada,English
AS-010,Alphabet expansion,Ontario Construction Financing,ontario construction financing,retain-primary,construction-financing,financing-qualification,,2026-07-19,Ontario real estate financing,Canada,English
AS-011,Alphabet expansion,Real Estate Financing Program,real estate financing program,exclude,,,"Malformed, vague, or insufficiently aligned phrase",2026-07-19,Ontario real estate financing,Canada,English
AS-012,Alphabet expansion,Ontario Real Estate Foundation,ontario real estate foundation,exclude,,,Organization/entity intent,2026-07-19,Ontario real estate financing,Canada,English
AS-013,Alphabet expansion,Ontario Real Estate Conditions,ontario real estate conditions,exclude,,,"Malformed, vague, or insufficiently aligned phrase",2026-07-19,Ontario real estate financing,Canada,English
AS-014,Alphabet expansion,Real Estate Financing Conditions,real estate financing conditions,exclude,,,"Malformed, vague, or insufficiently aligned phrase",2026-07-19,Ontario real estate financing,Canada,English
AS-015,Alphabet expansion,Ontario Real Estate Offers,ontario real estate offers,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-016,Alphabet expansion,X Realty Inc,x realty inc,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-017,Alphabet expansion,Real Estate Financing Condition,real estate financing condition,exclude,,,"Malformed, vague, or insufficiently aligned phrase",2026-07-19,Ontario real estate financing,Canada,English
AS-018,Alphabet expansion,Bridge Financing Real Estate Canada,bridge financing real estate canada,retain-primary,bridge-loans,financing-qualification,,2026-07-19,Ontario real estate financing,Canada,English
AS-019,Alphabet expansion,Commercial Real Estate Financing Canada,commercial real estate financing canada,retain-supporting,rental-acquisition,planning-comparison,Broader than FairLend's named rental services.,2026-07-19,Ontario real estate financing,Canada,English
AS-020,Alphabet expansion,Ontario Real Estate Down Payment,ontario real estate down payment,retain-primary,residential-mortgages,project-feasibility,,2026-07-19,Ontario real estate financing,Canada,English
AS-021,Alphabet expansion,Ontario Real Estate Deposit,ontario real estate deposit,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-022,Alphabet expansion,Financing Land Ontario,financing land ontario,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-023,Alphabet expansion,Fintrac Ontario Real Estate,fintrac ontario real estate,exclude,,,"Legal, tax, or compliance intent outside the service scope",2026-07-19,Ontario real estate financing,Canada,English
AS-024,Alphabet expansion,Granton Ontario Real Estate,granton ontario real estate,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-025,Alphabet expansion,Gananoque Ontario Real Estate,gananoque ontario real estate,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-026,Alphabet expansion,Home Renovation Financing Ontario,home renovation financing ontario,retain-primary,renovation-financing,project-feasibility,,2026-07-19,Ontario real estate financing,Canada,English
AS-027,Alphabet expansion,Financing On Home Purchase,financing on home purchase,retain-supporting,residential-mortgages,financing-qualification,Awkward phrasing; normalize before targeting.,2026-07-19,Ontario real estate financing,Canada,English
AS-028,Alphabet expansion,Hst Ontario Real Estate,hst ontario real estate,exclude,,,"Legal, tax, or compliance intent outside the service scope",2026-07-19,Ontario real estate financing,Canada,English
AS-029,Alphabet expansion,Financing Land In Ontario,financing land in ontario,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-030,Alphabet expansion,Land Financing Ontario,land financing ontario,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-031,Alphabet expansion,Land For Sale Owner Financing Canada,land for sale owner financing canada,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-032,Alphabet expansion,Real Estate Financing Montreal,real estate financing montreal,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-033,Alphabet expansion,Mortgage On Residential Property,mortgage on residential property,retain-primary,residential-mortgages,awareness-education,,2026-07-19,Ontario real estate financing,Canada,English
AS-034,Alphabet expansion,New Ontario Real Estate Law,new ontario real estate law,exclude,,,"Legal, tax, or compliance intent outside the service scope",2026-07-19,Ontario real estate financing,Canada,English
AS-035,Alphabet expansion,Owner Financing Ontario,owner financing ontario,exclude,,,Financing product not listed on the landing page,2026-07-19,Ontario real estate financing,Canada,English
AS-036,Alphabet expansion,Ontario Home Financing,ontario home financing,retain-supporting,residential-mortgages,financing-qualification,,2026-07-19,Ontario real estate financing,Canada,English
AS-037,Alphabet expansion,Q5 For Sale Ontario,q5 for sale ontario,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-038,Alphabet expansion,R Ontario Real Estate,r ontario real estate,exclude,,,"Malformed, vague, or insufficiently aligned phrase",2026-07-19,Ontario real estate financing,Canada,English
AS-039,Alphabet expansion,Real Estate Interest Rate Ontario,real estate interest rate ontario,retain-supporting,residential-mortgages,awareness-education,,2026-07-19,Ontario real estate financing,Canada,English
AS-040,Alphabet expansion,Seller Financing Ontario Real Estate,seller financing ontario real estate,exclude,,,Financing product not listed on the landing page,2026-07-19,Ontario real estate financing,Canada,English
AS-041,Alphabet expansion,Seller Financing Properties Ontario,seller financing properties ontario,exclude,,,Financing product not listed on the landing page,2026-07-19,Ontario real estate financing,Canada,English
AS-042,Alphabet expansion,Vtb Ontario Real Estate,vtb ontario real estate,exclude,,,Financing product not listed on the landing page,2026-07-19,Ontario real estate financing,Canada,English
AS-043,Alphabet expansion,Ontario Real Estate Under 500k,ontario real estate under 500k,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-044,Alphabet expansion,Ontario Real Estate Under 300k,ontario real estate under 300k,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-045,Alphabet expansion,U Of T Real Estate,u of t real estate,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-046,Alphabet expansion,Vendor Financing Real Estate Canada,vendor financing real estate canada,exclude,,,Financing product not listed on the landing page,2026-07-19,Ontario real estate financing,Canada,English
AS-047,Alphabet expansion,Vendor Financing Real Estate,vendor financing real estate,exclude,,,Financing product not listed on the landing page,2026-07-19,Ontario real estate financing,Canada,English
AS-048,Alphabet expansion,Ontario Real Estate Working Group,ontario real estate working group,exclude,,,Organization/entity intent,2026-07-19,Ontario real estate financing,Canada,English
AS-049,Alphabet expansion,Windsor Ontario Real Estate For Sale,windsor ontario real estate for sale,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-050,Alphabet expansion,Windsor Ontario Real Estate Board,windsor ontario real estate board,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-051,Alphabet expansion,Ontario Real Estate Youtube,ontario real estate youtube,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-052,Alphabet expansion,Zillow Ontario Land,zillow ontario land,exclude,,,"Listings, location, brand, or non-service intent",2026-07-19,Ontario real estate financing,Canada,English
AS-053,People Also Ask,"How much do you need to make to afford a $500,000 house in Ontario?",how much do you need to make to afford a 500 000 house in ontario,retain-supporting,residential-mortgages,project-feasibility,,2026-07-19,Ontario real estate financing,Canada,English
AS-054,People Also Ask,"How much mortgage can I get with a $70,000 salary in Canada?",how much mortgage can i get with a 70 000 salary in canada,retain-supporting,residential-mortgages,project-feasibility,,2026-07-19,Ontario real estate financing,Canada,English
AS-055,People Also Ask,"How much do you have to make a year to afford a $1,000,000 house in Canada?",how much do you have to make a year to afford a 1 000 000 house in canada,retain-supporting,residential-mortgages,project-feasibility,,2026-07-19,Ontario real estate financing,Canada,English
