source,dimension,item,clicks,impressions,ctr,averagePosition,sessions,engagedSessions,engagementRate,averageEngagementTime,events,keyEvents,dateRange,note
GSC,property-total,sc-domain:fairlend.ca,2,67,3%,31.2,,,,,,,2026-07-14 to 2026-07-17,New property; four days of visible search data.
GSC,query,fairlend,1,2,50%,1,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,construction loan draw schedule,0,3,0%,91.3,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,elie soberano,0,2,0%,7,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,fairm,0,2,0%,29.5,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,fairview loans,0,2,0%,37.5,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,frendel,0,2,0%,49.5,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,flent,0,2,0%,50.5,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,private mortgage fund,0,2,0%,84.5,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,fair market value appraisal for private lending,0,2,0%,96.5,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,fairloans apply online,0,1,0%,41,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,firl,0,1,0%,43,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,private mortgage investment,0,1,0%,47,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,splend,0,1,0%,50,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,invest in private mortgages,0,1,0%,53,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,vierendeels,0,1,0%,63,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,fingler,0,1,0%,75,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,northlend financial,0,1,0%,76,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,feilding,0,1,0%,77,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,fruend,0,1,0%,78,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,halfern,0,1,0%,83,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,fairmile,0,1,0%,84,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,private mortgage investing,0,1,0%,90,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,query,vriend engineering,0,1,0%,96,,,,,,,2026-07-14 to 2026-07-17,"Direct Search Console UI; retain misspellings only as evidence, not target keywords."
GSC,page,https://www.fairlend.ca/,2,32,6.3%,10,,,,,,,2026-07-14 to 2026-07-17,Direct Search Console UI.
GSC,page,https://fairlend.ca/,0,21,0%,40.8,,,,,,,2026-07-14 to 2026-07-17,Direct Search Console UI.
GSC,page,/borrowers/private-mortgage-financing,0,14,0%,10.1,,,,,,,2026-07-14 to 2026-07-17,Direct Search Console UI.
GSC,page,/investing/private-mortgage-lending,0,14,0%,39.4,,,,,,,2026-07-14 to 2026-07-17,Direct Search Console UI.
GSC,page,/garden-suite,0,13,0%,2.9,,,,,,,2026-07-14 to 2026-07-17,Direct Search Console UI.
GSC,page,/disclosures,0,11,0%,2.4,,,,,,,2026-07-14 to 2026-07-17,Direct Search Console UI.
GSC,page,/partners,0,5,0%,5.4,,,,,,,2026-07-14 to 2026-07-17,Direct Search Console UI.
GSC,page,/construction-draw-financing,0,3,0%,91.3,,,,,,,2026-07-14 to 2026-07-17,Direct Search Console UI.
GSC,page,/investing,0,1,0%,1,,,,,,,2026-07-14 to 2026-07-17,Direct Search Console UI.
GA4,property-total,fairlend-root (property 502729166),,,,,14,10,71.43%,31s,79,0,2026-06-21 to 2026-07-18,Five active users; no configured/recorded key events.
GA4,session-default-channel-group,Direct,,,,,5,5,100%,1m05s,,0,2026-06-21 to 2026-07-18,Traffic acquisition report.
GA4,session-default-channel-group,Unassigned,,,,,4,2,50%,28s,,0,2026-06-21 to 2026-07-18,Traffic acquisition report.
GA4,session-default-channel-group,Referral,,,,,3,2,66.67%,0s,,0,2026-06-21 to 2026-07-18,Traffic acquisition report.
GA4,session-default-channel-group,Organic Search,,,,,2,1,50%,3s,,0,2026-06-21 to 2026-07-18,Traffic acquisition report.
GA4+GSC,linked-search-total,Google organic search traffic,2,114,1.75%,19.61,3,4,66.67%,41s,35,0,2026-06-21 to 2026-07-18,"Linked report differs from direct GSC because of date range, reporting thresholds, and anonymization."
Answer Socrates,question-discovery,Ontario real estate financing,,,,,,,,,,,2026-07-19,Canada/English; 59 questions after PAA expansion; Google Trends card +44% this month; directional only.
Answer Socrates,retained-query,Ontario construction financing,,,,,,,,,,,2026-07-19,Retained as construction-financing discovery term.
Answer Socrates,retained-query,Bridge financing real estate Canada,,,,,,,,,,,2026-07-19,Retained as bridge-financing discovery term.
Answer Socrates,retained-query,Home renovation financing Ontario,,,,,,,,,,,2026-07-19,Retained as renovation-financing discovery term.
Answer Socrates,retained-query,Mortgage on residential property,,,,,,,,,,,2026-07-19,Retained as residential-mortgage discovery term.
Answer Socrates,retained-query,Ontario home financing,,,,,,,,,,,2026-07-19,Retained as residential-mortgage discovery term.
Answer Socrates,retained-query,Real estate financing Toronto,,,,,,,,,,,2026-07-19,Broad supporting term; not assigned as a primary keyword.
Answer Socrates,retained-query,Real estate financing Canada,,,,,,,,,,,2026-07-19,Broad supporting term; not assigned as a primary keyword.
Google Ads,keyword-planner,FairLend account 359-082-4317,,,,,,,,,,,2026-07-19,Unavailable: account redirects to campaign/payment onboarding. No campaign was created and no billing state was changed.

